Tim Burton  ,  director (4 episodes 2022) ,  seer , anything , 
132.Antonescu Mihai  ,  figuran ,  mermaid , flexitarian , 
132.Athanasiu Felicia  ,  figuran ,  human , flexitarian , 
132.Brediceanu Florina  ,  figuran ,  vampire , vegetarian , 
132.Argetoianu Norbert  ,  figuran ,  werewolf , vegetarian , 
132.Baciu Anisoara  ,  figuran ,  werewolf , anything , 
132.Botezan Teodosie  ,  figuran ,  mermaid , vegetarian , 
132.Grigorescu Flavia  ,  figuran ,  vampire , vegetarian , 
132.Berindei  Felicia  ,  figuran ,  human , anything , 
132.Anghel Leon  ,  figuran ,  vampire , vegetarian , 
132.Botnaru Paul  ,  figuran ,  human , anything , 
132.Athanasiu Augustina  ,  figuran ,  mermaid , anything , 
132.Bozga Ana  ,  figuran ,  human , flexitarian , 
132.Botezan Ilarie  ,  figuran ,  werewolf , flexitarian , 
132.Bercea Anisoara  ,  figuran ,  mermaid , flexitarian , 
132.Breban Vasile  ,  figuran ,  vampire , flexitarian , 
132.Apostol Laurentiu  ,  figuran ,  human , vegetarian , 
132.Brătescu Anica  ,  figuran ,  vampire , anything , 
132.Alexi Adelin  ,  figuran ,  mermaid , flexitarian , 
132.Ardelean Cezar  ,  figuran ,  werewolf , flexitarian , 
132.Anghelescu Maria  ,  figuran ,  human , anything , 
132.Bejenaru Liviu  ,  figuran ,  mermaid , flexitarian , 
132.Blaga  Pavel  ,  figuran ,  vampire , anything , 
132.Basarabeanu Ioan  ,  figuran ,  human , flexitarian , 
132.Antonescu Constanta  ,  figuran ,  human , flexitarian , 
132.Bichineț Bujor  ,  figuran ,  werewolf , anything , 
132.Antal Adrian  ,  figuran ,  seer , anything , 
132.Budeanu Mariana  ,  figuran ,  human , anything , 
132.Băsescu  Grigore  ,  figuran ,  mermaid , flexitarian , 
132.Brediceanu Cornel  ,  figuran ,  mermaid , vegetarian , 
132.Botnari Cecilia  ,  figuran ,  mermaid , vegetarian , 
132.Adameșteanu Denisa  ,  figuran ,  vampire , flexitarian , 
132.Athanasiu Luiza  ,  figuran ,  werewolf , vegetarian , 
132.Athanasiu Liviu  ,  figuran ,  vampire , vegetarian , 
132.Bălțat Diana  ,  figuran ,  vampire , anything , 
132.Ardelean Martin  ,  figuran ,  vampire , flexitarian , 
132.Brătianu Felix  ,  figuran ,  werewolf , flexitarian , 
132.Valisescu Petre  ,  figuran ,  vampire , anything , 
132.Brânzeu Leon  ,  figuran ,  seer , anything , 
132.Popescu Lazar  ,  figuran ,  seer , flexitarian , 
132.Berghianu Laur  ,  figuran ,  vampire , flexitarian , 
132.Brânzan Anghel  ,  figuran ,  mermaid , vegetarian , 
132.Bălăceanu Cosmin  ,  figuran ,  werewolf , flexitarian , 
132.Arnăuțoiu Luca  ,  figuran ,  seer , anything , 
132.Budeanu Oana  ,  figuran ,  vampire , vegetarian , 
132.Brâncoveanu  Eduard  ,  figuran ,  werewolf , flexitarian , 
132.Baghiu Anisoara  ,  figuran ,  seer , anything , 
132.Anghelescu David  ,  figuran ,  werewolf , flexitarian , 
132.Antonescu Constantin  ,  figuran ,  werewolf , flexitarian , 
132.Brașoveanu Antonia  ,  figuran ,  seer , flexitarian , 
132.Andone Antoaneta  ,  figuran ,  vampire , flexitarian , 
132.Bibescu Arsenie  ,  figuran ,  vampire , anything , 
132.Bizău Elena  ,  figuran ,  seer , flexitarian , 
132.Alexandrescu Norbert  ,  figuran ,  vampire , vegetarian , 
132.Averescu  Dionisie  ,  figuran ,  vampire , vegetarian , 
132.Baconsky Laurentiu  ,  figuran ,  mermaid , flexitarian , 
132.Aldulescu Craciun  ,  figuran ,  mermaid , flexitarian , 
132.Apetrei Irina  ,  figuran ,  human , flexitarian , 
132.Balanici Dan  ,  figuran ,  mermaid , anything , 
132.Amânar Stefan  ,  figuran ,  mermaid , vegetarian , 
132.Bănățeanu Aniela  ,  figuran ,  seer , vegetarian , 
132.Angelescu Barbu  ,  figuran ,  mermaid , flexitarian , 
132.Arnăutu Sorina  ,  figuran ,  mermaid , anything , 
132.Antoci Dimitrie  ,  figuran ,  werewolf , flexitarian , 
132.Dumitrescu Ileana  ,  figuran ,  mermaid , flexitarian , 
132.Beclean  Filoftea  ,  figuran ,  vampire , anything , 
132.Brînzan Felicia  ,  figuran ,  werewolf , vegetarian , 
132.Broșteanu Calin  ,  figuran ,  human , flexitarian , 
132.Baconschi Laurentiu  ,  figuran ,  werewolf , vegetarian , 
132.Brătianu Adelin  ,  figuran ,  mermaid , flexitarian , 
132.Bădulescu Denisa  ,  figuran ,  human , flexitarian , 
132.Baconsky Anghel  ,  figuran ,  mermaid , flexitarian , 
132.Braghiș Anghel  ,  figuran ,  seer , anything , 
132.Bodnăraș Cosmin  ,  figuran ,  vampire , vegetarian , 
132.Bozgă Raluca  ,  figuran ,  vampire , flexitarian , 
132.Bibescu George  ,  figuran ,  human , vegetarian , 
132.Armășescu Eduard  ,  figuran ,  werewolf , anything , 
132.Bosînceanu Ciprian  ,  figuran ,  vampire , anything , 
132.Bujo Anton  ,  figuran ,  seer , anything , 
132.Barzin Iosif  ,  figuran ,  seer , flexitarian , 
132.Boteanu Costel  ,  figuran ,  human , flexitarian , 
132.Brânzeu David  ,  figuran ,  seer , flexitarian , 
132.Florescu Sebastian  ,  figuran ,  vampire , flexitarian , 
132.Bodnăraș Lidia  ,  figuran ,  human , flexitarian , 
132.Baracci Gheorghe  ,  figuran ,  human , vegetarian , 
132.Bănică Iosif  ,  figuran ,  seer , vegetarian , 
132.Becali Ionuț  ,  figuran ,  seer , vegetarian , 
132.Bodiul Ilie  ,  figuran ,  mermaid , flexitarian , 
132.Bosînceanu Dochia  ,  figuran ,  werewolf , anything , 
132.Georgescu Benone  ,  figuran ,  seer , vegetarian , 
132.Bodiul Matei  ,  figuran ,  werewolf , vegetarian , 
132.Apostoleanu Constanta  ,  figuran ,  werewolf , vegetarian , 
132.Armășescu Fanurie  ,  figuran ,  werewolf , anything , 
132.Buhuș Pavel  ,  figuran ,  seer , vegetarian , 
132.Balanici Benone  ,  figuran ,  seer , flexitarian , 
132.Bercu David  ,  figuran ,  werewolf , anything , 
132.Armășescu Lucretiu  ,  figuran ,  seer , vegetarian , 
132.Asachi Aurica  ,  figuran ,  vampire , vegetarian , 
132.Stanescu Cosmin  ,  figuran ,  mermaid , flexitarian , 
132.Albulescu Anca  ,  figuran ,  vampire , anything , 
132.Baconski  Ileana  ,  figuran ,  vampire , anything , 
132.Baconsky Iustin  ,  figuran ,  seer , anything , 
132.Adameșteanu Denis  ,  figuran ,  human , flexitarian , 
132.Bîrloiu Marius  ,  figuran ,  human , anything , 
132.Băsescu  Apostol  ,  figuran ,  seer , flexitarian , 
132.Braghiș Adam  ,  figuran ,  werewolf , flexitarian , 
132.Botnaru Alex  ,  figuran ,  mermaid , vegetarian , 
132.Buhuș Gratiela  ,  figuran ,  vampire , vegetarian , 
132.Bârloiu Magdalena  ,  figuran ,  werewolf , flexitarian , 
132.Bordea Anisoara  ,  figuran ,  mermaid , flexitarian , 
132.Almășan Teodor  ,  figuran ,  human , anything , 
132.Barcianu  Decebal  ,  figuran ,  mermaid , flexitarian , 
132.Arnăutu Benedict  ,  figuran ,  vampire , anything , 
132.Bărbuceanu Aurica  ,  figuran ,  human , anything , 
132.Bălănescu Doina  ,  figuran ,  human , flexitarian , 
132.Almaș Bujor  ,  figuran ,  vampire , vegetarian , 
132.Bătrîneanu Petre  ,  figuran ,  mermaid , anything , 
132.Barzin Angelica  ,  figuran ,  werewolf , vegetarian , 
132.Belimace Aniela  ,  figuran ,  vampire , vegetarian , 
132.Bozga Matei  ,  figuran ,  vampire , anything , 
132.Asachi Dochia  ,  figuran ,  werewolf , flexitarian , 
132.Bozga Georgeta  ,  figuran ,  mermaid , flexitarian , 
132.Bănulescu Bujor  ,  figuran ,  mermaid , flexitarian , 
132.Brudașcu Oscar  ,  figuran ,  human , flexitarian , 
132.Bărboianu Geanina  ,  figuran ,  vampire , vegetarian , 
132.Bârlădeanu Luchian  ,  figuran ,  vampire , vegetarian , 
132.Bârloiu Decebal  ,  figuran ,  vampire , flexitarian , 
132.Borăscu Andreea  ,  figuran ,  vampire , anything , 
132.Băsescu  Ioachim  ,  figuran ,  seer , flexitarian , 
132.Botnari Valeriu  ,  figuran ,  mermaid , flexitarian , 
132.Andronic Dumitru  ,  figuran ,  vampire , flexitarian , 
132.Bîrloiu Sebastian  ,  figuran ,  seer , flexitarian , 
132.Andreoiu Adrian  ,  figuran ,  vampire , flexitarian , 
132.Bizău Gabriela  ,  figuran ,  werewolf , flexitarian , 
132.Albulescu Benone  ,  figuran ,  seer , anything , 
132.Bădărău Eugenia  ,  figuran ,  human , vegetarian , 
132.Bratu Dumitru  ,  figuran ,  mermaid , anything , 
132.Apostu Valeriu  ,  figuran ,  seer , flexitarian , 
132.Bîrloiu Andreea  ,  figuran ,  human , flexitarian , 
132.Ionescu Gabriel  ,  figuran ,  werewolf , anything , 
132.Argeșanu Gheorghe  ,  figuran ,  vampire , anything , 
132.Barbu Amalia  ,  figuran ,  human , anything , 
132.Buhagiar Costel  ,  figuran ,  werewolf , vegetarian , 
132.Ardeleanu David  ,  figuran ,  werewolf , vegetarian , 
132.Bozgă Cristofor  ,  figuran ,  vampire , anything , 
132.Athanasiu Teodosie  ,  figuran ,  vampire , vegetarian , 
132.Bonciu Dan  ,  figuran ,  mermaid , anything , 
132.Alexa  Adrian  ,  figuran ,  human , vegetarian , 
132.Brezeanu Valentin  ,  figuran ,  human , vegetarian , 
132.Bănică Gratiela  ,  figuran ,  vampire , vegetarian , 
132.Negoita Zahari  ,  figuran ,  werewolf , flexitarian , 
132.Aman Ionuț  ,  figuran ,  vampire , anything , 
132.Grigorescu Sorina  ,  figuran ,  mermaid , anything , 
132.Buhuș Florica  ,  figuran ,  human , anything , 
132.Bujo Anisoara  ,  figuran ,  human , flexitarian , 
132.Bechet  Madalin  ,  figuran ,  werewolf , flexitarian , 
132.Brâncuși  Laur  ,  figuran ,  werewolf , flexitarian , 
132.Balanici Ilarie  ,  figuran ,  werewolf , vegetarian , 
132.Athanasiu Grigore  ,  figuran ,  werewolf , flexitarian , 
132.Agaparian Manole  ,  figuran ,  mermaid , vegetarian , 
132.Alexe Anica  ,  figuran ,  vampire , anything , 
132.Băsescu  Anca  ,  figuran ,  mermaid , vegetarian , 
132.Alexe Flavia  ,  figuran ,  seer , vegetarian , 
132.Andronic Lucretiu  ,  figuran ,  vampire , flexitarian , 
132.Brătescu Eusebiu  ,  figuran ,  seer , anything , 
132.Boteanu Damian  ,  figuran ,  human , vegetarian , 
132.Almășan Benjamin  ,  figuran ,  vampire , anything , 
132.Băsescu  Matei  ,  figuran ,  vampire , vegetarian , 
132.Bănățeanu Eduard  ,  figuran ,  seer , anything , 
132.Argeșanu Brandusa  ,  figuran ,  werewolf , anything , 
132.Brătescu Anisoara  ,  figuran ,  mermaid , anything , 
132.Anghelache Camelia  ,  figuran ,  human , anything , 
132.Brumaru Martin  ,  figuran ,  vampire , vegetarian , 
132.Popescu Iurie  ,  figuran ,  vampire , flexitarian , 
132.Andronic Laur  ,  figuran ,  seer , vegetarian , 
132.Aldulescu Aniela  ,  figuran ,  mermaid , flexitarian , 
132.Antoci Ancuta  ,  figuran ,  vampire , anything , 
132.Bega  Anisoara  ,  figuran ,  vampire , vegetarian , 
132.Bălan Anghel  ,  figuran ,  seer , flexitarian , 
132.Aldulescu Spiridon  ,  figuran ,  werewolf , vegetarian , 
132.Botezan Vasile  ,  figuran ,  vampire , flexitarian , 
132.Breban Angelica  ,  figuran ,  vampire , vegetarian , 
132.Apostoleanu Benone  ,  figuran ,  werewolf , flexitarian , 
132.Basarabeanu Denis  ,  figuran ,  werewolf , anything , 
132.Baconsky Ioana  ,  figuran ,  human , flexitarian , 
132.Boteanu Basarab  ,  figuran ,  seer , vegetarian , 
132.Stanescu Ghita  ,  figuran ,  seer , flexitarian , 
132.Adamache Efrem  ,  figuran ,  seer , anything , 
132.Bîrloiu Apostol  ,  figuran ,  human , flexitarian , 
132.Apostoleanu Anton  ,  figuran ,  vampire , vegetarian , 
132.Brateș Felix  ,  figuran ,  vampire , flexitarian , 
132.Brenduș Filip  ,  figuran ,  human , flexitarian , 
132.Băloșescu Cazimir  ,  figuran ,  mermaid , flexitarian , 
132.Aman Augustina  ,  figuran ,  seer , flexitarian , 
132.Besoiu Cecilia  ,  figuran ,  werewolf , vegetarian , 
132.Botezan Alin  ,  figuran ,  vampire , anything , 
132.Bechet  Bartolomeu  ,  figuran ,  human , vegetarian , 
132.Alifantis Dan  ,  figuran ,  mermaid , flexitarian , 
132.Bazon Stefan  ,  figuran ,  seer , vegetarian , 
132.Brateș Adam  ,  figuran ,  mermaid , vegetarian , 
132.Almășan Aurora  ,  figuran ,  vampire , anything , 
132.Andreoiu Andreea  ,  figuran ,  werewolf , flexitarian , 
132.Brediceanu Gheorghe  ,  figuran ,  seer , flexitarian , 
132.Botnaru Anca  ,  figuran ,  seer , vegetarian , 
132.Popescu Ioachim  ,  figuran ,  mermaid , flexitarian , 
132.Brânzeu Doina  ,  figuran ,  vampire , anything , 
132.Bârloiu Ciprian  ,  figuran ,  vampire , anything , 
132.Bizău Laur  ,  figuran ,  mermaid , flexitarian , 
132.Berghianu Dionisie  ,  figuran ,  vampire , vegetarian , 
132.Bănică Mariana  ,  figuran ,  seer , flexitarian , 
132.Bătrâneanu Lacramioara  ,  figuran ,  seer , anything , 
132.Basarabeanu Oscar  ,  figuran ,  mermaid , vegetarian , 
132.Avramescu Anton  ,  figuran ,  seer , anything , 
132.Arnautu Camil  ,  figuran ,  vampire , flexitarian , 
132.Alexandrescu Martin  ,  figuran ,  human , vegetarian , 
132.Alexi Fanurie  ,  figuran ,  mermaid , anything , 
132.Bârlădeanu Dionisie  ,  figuran ,  mermaid , anything , 
132.Bodiu Loredana  ,  figuran ,  werewolf , anything , 
132.Ardeleanu Andrei  ,  figuran ,  vampire , vegetarian , 
132.Banciu  Irina  ,  figuran ,  human , anything , 
132.Berghianu Stefan  ,  figuran ,  werewolf , vegetarian , 
132.Brateș Leon  ,  figuran ,  seer , flexitarian , 
132.Bănulescu Mihail  ,  figuran ,  vampire , flexitarian , 
132.Bosânceanu Liviu  ,  figuran ,  werewolf , vegetarian , 
132.Bărboianu Vasile  ,  figuran ,  seer , flexitarian , 
132.Bozgă Lucretiu  ,  figuran ,  werewolf , vegetarian , 
132.Brâncoveanu  Laurentiu  ,  figuran ,  human , flexitarian , 
132.Botean Emilian  ,  figuran ,  werewolf , anything , 
132.Bodescu Laura  ,  figuran ,  seer , vegetarian , 
132.Bălțat Liviu  ,  figuran ,  werewolf , anything , 
132.Buhagiar Maria  ,  figuran ,  werewolf , vegetarian , 
132.Budescu Geta  ,  figuran ,  seer , vegetarian , 
132.Argeșanu Ion  ,  figuran ,  human , anything , 
132.Badea Cosmin  ,  figuran ,  mermaid , anything , 
132.Begu Adriana  ,  figuran ,  human , flexitarian , 
132.Angelescu Eugen  ,  figuran ,  seer , flexitarian , 
132.Bârcă Petre  ,  figuran ,  mermaid , flexitarian , 
132.Albulescu Anisoara  ,  figuran ,  vampire , flexitarian , 
132.Bichineț Denisa  ,  figuran ,  mermaid , vegetarian , 
132.Borcea Razvan  ,  figuran ,  werewolf , vegetarian , 
132.Botezan Efrem  ,  figuran ,  human , flexitarian , 
132.Barzin Adam  ,  figuran ,  vampire , flexitarian , 
132.Bengescu Benjamin  ,  figuran ,  werewolf , flexitarian , 
132.Bătrîneanu Mihai  ,  figuran ,  human , flexitarian , 
132.Bosânceanu Aurelia  ,  figuran ,  vampire , flexitarian , 
132.Bănulescu Cristina  ,  figuran ,  vampire , anything , 
132.Brediceanu Gratiela  ,  figuran ,  human , flexitarian , 
132.Bereș Filoftea  ,  figuran ,  vampire , flexitarian , 
132.Bărbuceanu Mariana  ,  figuran ,  mermaid , vegetarian , 
132.Agârbiceanu Teodosie  ,  figuran ,  vampire , anything , 
132.Brânzeu Lucretia  ,  figuran ,  human , vegetarian , 
132.Bodescu Mariana  ,  figuran ,  werewolf , anything , 
132.Adoc Dionisie  ,  figuran ,  human , flexitarian , 
132.Bujo Augustina  ,  figuran ,  human , vegetarian , 
132.Bogza Pavel  ,  figuran ,  human , flexitarian , 
132.Armășescu Basarab  ,  figuran ,  werewolf , vegetarian , 
132.Bodescu Laura  ,  figuran ,  mermaid , flexitarian , 
132.Brâncuși  Dochia  ,  figuran ,  mermaid , anything , 
132.Aman Iacob  ,  figuran ,  human , vegetarian , 
132.Adamache Ionuț  ,  figuran ,  vampire , anything , 
132.Borcea Loredana  ,  figuran ,  seer , vegetarian , 
132.Adamache Ruxandra  ,  figuran ,  vampire , flexitarian , 
132.Arnăutu Nicolai  ,  figuran ,  human , anything , 
132.Antoci Grigore  ,  figuran ,  werewolf , anything , 
132.Boroianu Aurelia  ,  figuran ,  human , flexitarian , 
132.Bârlădeanu Stefan  ,  figuran ,  vampire , anything , 
132.Dumitrescu Pavel  ,  figuran ,  werewolf , anything , 
132.Baconski  Dimitrie  ,  figuran ,  human , flexitarian , 
132.Boștină Vladimir  ,  figuran ,  seer , flexitarian , 
132.Bălănescu Mariana  ,  figuran ,  human , vegetarian , 
132.Barbu Ileana  ,  figuran ,  seer , anything , 
132.Bordea Andrei  ,  figuran ,  seer , anything , 
132.Bîrloiu Benedict  ,  figuran ,  werewolf , anything , 
132.Breban Damian  ,  figuran ,  mermaid , flexitarian , 
132.Bărboianu Loredana  ,  figuran ,  mermaid , anything , 
132.Barcianu  Georgeta  ,  figuran ,  werewolf , flexitarian , 
132.Andone Luciana  ,  figuran ,  vampire , anything , 
132.Brumaru Lazar  ,  figuran ,  seer , flexitarian , 
132.Budescu Liliana  ,  figuran ,  human , vegetarian , 
132.Bercea Doru  ,  figuran ,  vampire , anything , 
132.Brânzeu Luminita  ,  figuran ,  human , flexitarian , 
132.Adamescu Manuel  ,  figuran ,  mermaid , anything , 
132.Aman Anica  ,  figuran ,  mermaid , anything , 
132.Bercu Lucretiu  ,  figuran ,  human , vegetarian , 
132.Barbu Horia  ,  figuran ,  vampire , vegetarian , 
132.Andone Manuela  ,  figuran ,  mermaid , vegetarian , 
132.Balanici Norbert  ,  figuran ,  seer , flexitarian , 
132.Bârloiu Emilian  ,  figuran ,  mermaid , anything , 
132.Arnautu Ciprian  ,  figuran ,  mermaid , flexitarian , 
132.Bereș Nicolae  ,  figuran ,  human , anything , 
132.Baghiu Serban  ,  figuran ,  vampire , anything , 
132.Valisescu Dimitrie  ,  figuran ,  seer , anything , 
132.Baicu Leon  ,  figuran ,  human , anything , 
132.Agârbiceanu Cornel  ,  figuran ,  werewolf , vegetarian , 
132.Brâncoveanu  Benedict  ,  figuran ,  werewolf , vegetarian , 
132.Boteanu Carmen  ,  figuran ,  vampire , flexitarian , 
132.Budeanu Stefan  ,  figuran ,  werewolf , vegetarian , 
132.Argetoianu Eduard  ,  figuran ,  seer , anything , 
132.Berindei  Augustina  ,  figuran ,  seer , anything , 
132.Bosânceanu Andreea  ,  figuran ,  human , vegetarian , 
132.Botnaru Teodor  ,  figuran ,  mermaid , flexitarian , 
132.Bănică Teodosie  ,  figuran ,  human , vegetarian , 
132.Becșenescu Magdalena  ,  figuran ,  mermaid , flexitarian , 
132.Blaga  Leon  ,  figuran ,  human , vegetarian , 
132.Badea Ilie  ,  figuran ,  mermaid , anything , 
132.Bizău Grigore  ,  figuran ,  werewolf , vegetarian , 
132.Brateș Marian  ,  figuran ,  seer , vegetarian , 
132.Badea Eugen  ,  figuran ,  vampire , flexitarian , 
132.Băloșescu Cristofor  ,  figuran ,  vampire , vegetarian , 
132.Bacalbașa Lucretia  ,  figuran ,  werewolf , flexitarian , 
132.Antonescu Cristina  ,  figuran ,  werewolf , anything , 
132.Baconsky Felicia  ,  figuran ,  seer , anything , 
132.Bădescu Matei  ,  figuran ,  vampire , flexitarian , 
132.Bizău Cezar  ,  figuran ,  human , vegetarian , 
132.Brudașcu Alexie  ,  figuran ,  mermaid , vegetarian , 
132.Brătescu Marilena  ,  figuran ,  seer , anything , 
132.Boteanu Decebal  ,  figuran ,  human , anything , 
132.Negoita Ion  ,  figuran ,  vampire , anything , 
132.Buhagiar Zahari  ,  figuran ,  seer , vegetarian , 
132.Budescu Antoaneta  ,  figuran ,  vampire , flexitarian , 
132.Botezan Nicolae  ,  figuran ,  human , vegetarian , 
132.Bărbuceanu Augustina  ,  figuran ,  human , flexitarian , 
132.Albu  Doina  ,  figuran ,  seer , flexitarian , 
132.Berghianu Nicolai  ,  figuran ,  werewolf , vegetarian , 
132.Bacalbașa Camelia  ,  figuran ,  vampire , anything , 
132.Andone Dimitrie  ,  figuran ,  mermaid , anything , 
132.Barzin Geta  ,  figuran ,  mermaid , vegetarian , 
132.Bărbuceanu Lidia  ,  figuran ,  werewolf , vegetarian , 
132.Bălănescu Magdalena  ,  figuran ,  vampire , vegetarian , 
132.Bucurescu Haralambie  ,  figuran ,  vampire , vegetarian , 
132.Alexandrescu Cristian  ,  figuran ,  vampire , anything , 
132.Belimace Mihaela  ,  figuran ,  mermaid , flexitarian , 
132.Brănescu Alin  ,  figuran ,  vampire , flexitarian , 
132.Anton  Matei  ,  figuran ,  vampire , vegetarian , 
132.Albu  Luminita  ,  figuran ,  human , vegetarian , 
132.Brânzeu Fanurie  ,  figuran ,  vampire , flexitarian , 
132.Apostol Vladimir  ,  figuran ,  mermaid , anything , 
132.Buia Vitalie  ,  figuran ,  seer , flexitarian , 
132.Anghel Carmen  ,  figuran ,  seer , vegetarian , 
132.Apostu Anca  ,  figuran ,  human , vegetarian , 
132.Bizău Fanurie  ,  figuran ,  mermaid , flexitarian , 
132.Botnaru Vitalie  ,  figuran ,  mermaid , vegetarian , 
132.Baciu Cristina  ,  figuran ,  mermaid , vegetarian , 
132.Boteanu Emil  ,  figuran ,  vampire , flexitarian , 
132.Brâncoveanu  Felix  ,  figuran ,  vampire , flexitarian , 
132.Borăscu Stelian  ,  figuran ,  werewolf , anything , 
132.Budeanu Diana  ,  figuran ,  seer , flexitarian , 
132.Baicu Ioachim  ,  figuran ,  werewolf , flexitarian , 
132.Balauru Anton  ,  figuran ,  mermaid , vegetarian , 
132.Bacalbașa David  ,  figuran ,  werewolf , vegetarian , 
132.Brateș Andrei  ,  figuran ,  werewolf , anything , 
132.Botnaru Damian  ,  figuran ,  vampire , flexitarian , 
132.Apetrei Dan  ,  figuran ,  vampire , flexitarian , 
132.Andone Dumitru  ,  figuran ,  human , flexitarian , 
132.Bozga Barbu  ,  figuran ,  werewolf , vegetarian , 
132.Bădărău Stefan  ,  figuran ,  vampire , flexitarian , 
132.Becali Laurentiu  ,  figuran ,  seer , anything , 
132.Bănățeanu Ghita  ,  figuran ,  werewolf , flexitarian , 
132.Bazon Emil  ,  figuran ,  seer , vegetarian , 
132.Barna Constanta  ,  figuran ,  vampire , vegetarian , 
132.Baconsky Diana  ,  figuran ,  seer , anything , 
132.Benga Oana  ,  figuran ,  human , flexitarian , 
132.Stanescu Stelian  ,  figuran ,  vampire , anything , 
132.Bozgă Neculai  ,  figuran ,  human , flexitarian , 
132.Alexandrescu Ion  ,  figuran ,  vampire , anything , 
132.Bercu Valeriu  ,  figuran ,  vampire , flexitarian , 
132.Bonciu Marian  ,  figuran ,  human , flexitarian , 
132.Bodnăraș Mihaela  ,  figuran ,  mermaid , anything , 
132.Bercu Emilian  ,  figuran ,  seer , flexitarian , 
132.Botezan Luchian  ,  figuran ,  werewolf , flexitarian , 
132.Alexandrescu Luciana  ,  figuran ,  human , vegetarian , 
132.Badea Aurelia  ,  figuran ,  seer , vegetarian , 
132.Balauru Ioachim  ,  figuran ,  seer , vegetarian , 
132.Brateș Stefan  ,  figuran ,  seer , flexitarian , 
132.Balanici Ilie  ,  figuran ,  mermaid , flexitarian , 
132.Georgescu Anca  ,  figuran ,  human , anything , 
132.Stanescu Dionisie  ,  figuran ,  vampire , anything , 
132.Albu  Matei  ,  figuran ,  seer , flexitarian , 
132.Adamescu Ciprian  ,  figuran ,  seer , flexitarian , 
132.Bozga Fanurie  ,  figuran ,  human , vegetarian , 
132.Bârcă Ruxandra  ,  figuran ,  human , flexitarian , 
132.Bîrloiu Madalina  ,  figuran ,  human , flexitarian , 
132.Athanasiu Eugen  ,  figuran ,  human , vegetarian , 
132.Brenduș Marin  ,  figuran ,  human , flexitarian , 
132.Bîrloiu Manuela  ,  figuran ,  vampire , flexitarian , 
132.Bozga Iosif  ,  figuran ,  seer , flexitarian , 
132.Bucur  Basarab  ,  figuran ,  seer , flexitarian , 
132.Bîrlea Ancuta  ,  figuran ,  human , anything , 
132.Bizău Doru  ,  figuran ,  mermaid , flexitarian , 
132.Grigorescu Oana  ,  figuran ,  werewolf , vegetarian , 
132.Bercea Amalia  ,  figuran ,  human , vegetarian , 
132.Bechet  Iolanda  ,  figuran ,  seer , anything , 
132.Agaparian Petre  ,  figuran ,  vampire , anything , 
132.Anghelache Raluca  ,  figuran ,  seer , flexitarian , 
132.Dumitrescu Elena  ,  figuran ,  werewolf , flexitarian , 
132.Brumaru Adelin  ,  figuran ,  seer , anything , 
132.Anghelache Gabriela  ,  figuran ,  seer , flexitarian , 
132.Balauru Petru  ,  figuran ,  vampire , anything , 
132.Bănățeanu Damian  ,  figuran ,  mermaid , anything , 
132.Florescu Marius  ,  figuran ,  werewolf , vegetarian , 
132.Albu  Adriana  ,  figuran ,  human , anything , 
132.Bălănescu Diana  ,  figuran ,  human , flexitarian , 
132.Bosânceanu Costel  ,  figuran ,  mermaid , flexitarian , 
132.Alexa  Adelin  ,  figuran ,  mermaid , flexitarian , 
132.Barna Daniel  ,  figuran ,  seer , flexitarian , 
132.Budeanu Ioan  ,  figuran ,  mermaid , vegetarian , 
132.Beclean  Nectarie  ,  figuran ,  human , flexitarian , 
132.Andoni Serban  ,  figuran ,  human , flexitarian , 
132.Begu Oana  ,  figuran ,  werewolf , vegetarian , 
132.Bătrîneanu Luchian  ,  figuran ,  werewolf , vegetarian , 
132.Botnari Angelica  ,  figuran ,  mermaid , anything , 
132.Bănulescu Ioachim  ,  figuran ,  seer , vegetarian , 
132.Barcianu  Lacramioara  ,  figuran ,  seer , vegetarian , 
132.Brumaru Ioachim  ,  figuran ,  human , vegetarian , 
132.Bechet  Damian  ,  figuran ,  mermaid , vegetarian , 
132.Adameșteanu Luiza  ,  figuran ,  seer , vegetarian , 
132.Bratu Anca  ,  figuran ,  mermaid , anything , 
132.Albulescu Basarab  ,  figuran ,  vampire , anything , 
132.Bălănescu Nicolae  ,  figuran ,  human , vegetarian , 
132.Basarabeanu Matei  ,  figuran ,  human , flexitarian , 
132.Bordea Diana  ,  figuran ,  mermaid , flexitarian , 
132.Botnaru Alexie  ,  figuran ,  mermaid , flexitarian , 
132.Stanescu Petre  ,  figuran ,  werewolf , flexitarian , 
132.Bădărău Sebastian  ,  figuran ,  human , flexitarian , 
132.Brenduș Lidia  ,  figuran ,  seer , flexitarian , 
132.Botnari Ghita  ,  figuran ,  mermaid , vegetarian , 
132.Bîrloiu Diana  ,  figuran ,  mermaid , flexitarian , 
132.Antal Manuel  ,  figuran ,  human , anything , 
132.Bodescu Ioana  ,  figuran ,  vampire , flexitarian , 
132.Brumaru Basarab  ,  figuran ,  werewolf , flexitarian , 
132.Baracci Marin  ,  figuran ,  seer , flexitarian , 
132.Arnautu Bogdan  ,  figuran ,  human , anything , 
132.Bazon Stefan  ,  figuran ,  werewolf , anything , 
132.Bozga Cristi  ,  figuran ,  werewolf , vegetarian , 
132.Bolliac Gratiela  ,  figuran ,  human , anything , 
132.Bereș Andreas  ,  figuran ,  vampire , anything , 
132.Botean Oana  ,  figuran ,  werewolf , anything , 
