Tim Burton  ,  director (4 episodes 2022) ,  vampire , flexitarian , 
132.Bădărău Lazar  ,  figuran ,  vampire , flexitarian , 
132.Avramescu Cezar  ,  figuran ,  vampire , anything , 
132.Boteanu Marian  ,  figuran ,  vampire , vegetarian , 
132.Adameșteanu Filip  ,  figuran ,  human , vegetarian , 
132.Bibescu Emilian  ,  figuran ,  vampire , anything , 
132.Bozgă Vasile  ,  figuran ,  mermaid , flexitarian , 
132.Angelescu Benone  ,  figuran ,  seer , anything , 
132.Adamache Emilian  ,  figuran ,  seer , vegetarian , 
132.Arnăutu Matei  ,  figuran ,  werewolf , flexitarian , 
132.Antal Luca  ,  figuran ,  werewolf , vegetarian , 
132.Bega  Gelu  ,  figuran ,  werewolf , vegetarian , 
132.Brediceanu Aurelia  ,  figuran ,  vampire , vegetarian , 
132.Bădulescu Diana  ,  figuran ,  seer , vegetarian , 
132.Brănescu Emilian  ,  figuran ,  vampire , vegetarian , 
132.Berindei  Anca  ,  figuran ,  seer , flexitarian , 
132.Brânzeu Alexie  ,  figuran ,  vampire , vegetarian , 
132.Bătrîneanu Andreea  ,  figuran ,  seer , anything , 
132.Antonescu Mihai  ,  figuran ,  vampire , anything , 
132.Athanasiu Felicia  ,  figuran ,  human , flexitarian , 
132.Brediceanu Florina  ,  figuran ,  vampire , vegetarian , 
132.Argetoianu Norbert  ,  figuran ,  mermaid , anything , 
132.Baciu Anisoara  ,  figuran ,  werewolf , anything , 
132.Botezan Teodosie  ,  figuran ,  werewolf , flexitarian , 
132.Grigorescu Flavia  ,  figuran ,  mermaid , vegetarian , 
132.Berindei  Felicia  ,  figuran ,  werewolf , vegetarian , 
132.Anghel Leon  ,  figuran ,  seer , anything , 
132.Botnaru Paul  ,  figuran ,  vampire , vegetarian , 
132.Athanasiu Augustina  ,  figuran ,  werewolf , vegetarian , 
132.Bozga Ana  ,  figuran ,  werewolf , vegetarian , 
132.Botezan Ilarie  ,  figuran ,  werewolf , anything , 
132.Bercea Anisoara  ,  figuran ,  werewolf , anything , 
132.Breban Vasile  ,  figuran ,  seer , anything , 
132.Apostol Laurentiu  ,  figuran ,  human , vegetarian , 
132.Brătescu Anica  ,  figuran ,  human , flexitarian , 
132.Alexi Adelin  ,  figuran ,  mermaid , flexitarian , 
132.Ardelean Cezar  ,  figuran ,  human , flexitarian , 
132.Anghelescu Maria  ,  figuran ,  human , anything , 
132.Bejenaru Liviu  ,  figuran ,  vampire , vegetarian , 
132.Blaga  Pavel  ,  figuran ,  werewolf , anything , 
132.Basarabeanu Ioan  ,  figuran ,  vampire , anything , 
132.Antonescu Constanta  ,  figuran ,  seer , anything , 
132.Bichineț Bujor  ,  figuran ,  vampire , flexitarian , 
132.Antal Adrian  ,  figuran ,  seer , anything , 
132.Budeanu Mariana  ,  figuran ,  human , vegetarian , 
132.Băsescu  Grigore  ,  figuran ,  vampire , anything , 
132.Brediceanu Cornel  ,  figuran ,  human , anything , 
132.Botnari Cecilia  ,  figuran ,  seer , flexitarian , 
132.Adameșteanu Denisa  ,  figuran ,  seer , anything , 
132.Athanasiu Luiza  ,  figuran ,  seer , flexitarian , 
132.Athanasiu Liviu  ,  figuran ,  mermaid , vegetarian , 
132.Bălțat Diana  ,  figuran ,  human , flexitarian , 
132.Ardelean Martin  ,  figuran ,  seer , flexitarian , 
132.Brătianu Felix  ,  figuran ,  human , vegetarian , 
132.Valisescu Petre  ,  figuran ,  mermaid , anything , 
132.Brânzeu Leon  ,  figuran ,  seer , vegetarian , 
132.Popescu Lazar  ,  figuran ,  vampire , flexitarian , 
132.Berghianu Laur  ,  figuran ,  vampire , vegetarian , 
132.Brânzan Anghel  ,  figuran ,  seer , anything , 
132.Bălăceanu Cosmin  ,  figuran ,  mermaid , flexitarian , 
132.Arnăuțoiu Luca  ,  figuran ,  seer , flexitarian , 
132.Budeanu Oana  ,  figuran ,  werewolf , vegetarian , 
132.Brâncoveanu  Eduard  ,  figuran ,  seer , anything , 
132.Baghiu Anisoara  ,  figuran ,  human , anything , 
132.Anghelescu David  ,  figuran ,  seer , flexitarian , 
132.Antonescu Constantin  ,  figuran ,  mermaid , flexitarian , 
132.Brașoveanu Antonia  ,  figuran ,  seer , vegetarian , 
132.Andone Antoaneta  ,  figuran ,  mermaid , flexitarian , 
132.Bibescu Arsenie  ,  figuran ,  seer , anything , 
132.Bizău Elena  ,  figuran ,  vampire , anything , 
132.Alexandrescu Norbert  ,  figuran ,  werewolf , flexitarian , 
132.Averescu  Dionisie  ,  figuran ,  human , flexitarian , 
132.Baconsky Laurentiu  ,  figuran ,  human , vegetarian , 
132.Aldulescu Craciun  ,  figuran ,  werewolf , vegetarian , 
132.Apetrei Irina  ,  figuran ,  werewolf , anything , 
132.Balanici Dan  ,  figuran ,  vampire , flexitarian , 
132.Amânar Stefan  ,  figuran ,  werewolf , flexitarian , 
132.Bănățeanu Aniela  ,  figuran ,  mermaid , anything , 
132.Angelescu Barbu  ,  figuran ,  human , vegetarian , 
132.Arnăutu Sorina  ,  figuran ,  vampire , flexitarian , 
132.Antoci Dimitrie  ,  figuran ,  seer , anything , 
132.Dumitrescu Ileana  ,  figuran ,  seer , anything , 
132.Beclean  Filoftea  ,  figuran ,  vampire , flexitarian , 
132.Brînzan Felicia  ,  figuran ,  human , flexitarian , 
132.Broșteanu Calin  ,  figuran ,  human , anything , 
132.Baconschi Laurentiu  ,  figuran ,  mermaid , flexitarian , 
132.Brătianu Adelin  ,  figuran ,  mermaid , vegetarian , 
132.Bădulescu Denisa  ,  figuran ,  werewolf , anything , 
132.Baconsky Anghel  ,  figuran ,  mermaid , anything , 
132.Braghiș Anghel  ,  figuran ,  seer , anything , 
132.Bodnăraș Cosmin  ,  figuran ,  vampire , anything , 
132.Bozgă Raluca  ,  figuran ,  vampire , flexitarian , 
132.Bibescu George  ,  figuran ,  mermaid , vegetarian , 
132.Armășescu Eduard  ,  figuran ,  human , anything , 
132.Bosînceanu Ciprian  ,  figuran ,  werewolf , flexitarian , 
132.Bujo Anton  ,  figuran ,  seer , anything , 
132.Barzin Iosif  ,  figuran ,  seer , flexitarian , 
132.Boteanu Costel  ,  figuran ,  werewolf , vegetarian , 
132.Brânzeu David  ,  figuran ,  vampire , flexitarian , 
132.Florescu Sebastian  ,  figuran ,  human , flexitarian , 
132.Bodnăraș Lidia  ,  figuran ,  mermaid , vegetarian , 
132.Baracci Gheorghe  ,  figuran ,  seer , anything , 
132.Bănică Iosif  ,  figuran ,  mermaid , vegetarian , 
132.Becali Ionuț  ,  figuran ,  seer , anything , 
132.Bodiul Ilie  ,  figuran ,  mermaid , flexitarian , 
132.Bosînceanu Dochia  ,  figuran ,  werewolf , vegetarian , 
132.Georgescu Benone  ,  figuran ,  human , flexitarian , 
132.Bodiul Matei  ,  figuran ,  seer , vegetarian , 
132.Apostoleanu Constanta  ,  figuran ,  werewolf , vegetarian , 
132.Armășescu Fanurie  ,  figuran ,  human , vegetarian , 
132.Buhuș Pavel  ,  figuran ,  seer , anything , 
132.Balanici Benone  ,  figuran ,  mermaid , vegetarian , 
132.Bercu David  ,  figuran ,  werewolf , anything , 
132.Armășescu Lucretiu  ,  figuran ,  seer , flexitarian , 
132.Asachi Aurica  ,  figuran ,  human , vegetarian , 
132.Stanescu Cosmin  ,  figuran ,  seer , vegetarian , 
132.Albulescu Anca  ,  figuran ,  seer , vegetarian , 
132.Baconski  Ileana  ,  figuran ,  seer , vegetarian , 
132.Baconsky Iustin  ,  figuran ,  human , vegetarian , 
132.Adameșteanu Denis  ,  figuran ,  werewolf , vegetarian , 
132.Bîrloiu Marius  ,  figuran ,  seer , vegetarian , 
132.Băsescu  Apostol  ,  figuran ,  werewolf , vegetarian , 
132.Braghiș Adam  ,  figuran ,  mermaid , vegetarian , 
132.Botnaru Alex  ,  figuran ,  vampire , anything , 
132.Buhuș Gratiela  ,  figuran ,  vampire , vegetarian , 
132.Bârloiu Magdalena  ,  figuran ,  seer , anything , 
132.Bordea Anisoara  ,  figuran ,  vampire , anything , 
132.Almășan Teodor  ,  figuran ,  human , vegetarian , 
132.Barcianu  Decebal  ,  figuran ,  vampire , vegetarian , 
132.Arnăutu Benedict  ,  figuran ,  vampire , flexitarian , 
132.Bărbuceanu Aurica  ,  figuran ,  mermaid , flexitarian , 
132.Bălănescu Doina  ,  figuran ,  mermaid , anything , 
132.Almaș Bujor  ,  figuran ,  human , anything , 
132.Bătrîneanu Petre  ,  figuran ,  mermaid , vegetarian , 
132.Barzin Angelica  ,  figuran ,  seer , anything , 
132.Belimace Aniela  ,  figuran ,  mermaid , flexitarian , 
132.Bozga Matei  ,  figuran ,  werewolf , vegetarian , 
132.Asachi Dochia  ,  figuran ,  werewolf , anything , 
132.Bozga Georgeta  ,  figuran ,  seer , anything , 
132.Bănulescu Bujor  ,  figuran ,  mermaid , anything , 
132.Brudașcu Oscar  ,  figuran ,  seer , anything , 
132.Bărboianu Geanina  ,  figuran ,  human , vegetarian , 
132.Bârlădeanu Luchian  ,  figuran ,  mermaid , flexitarian , 
132.Bârloiu Decebal  ,  figuran ,  werewolf , vegetarian , 
132.Borăscu Andreea  ,  figuran ,  human , flexitarian , 
132.Băsescu  Ioachim  ,  figuran ,  vampire , flexitarian , 
132.Botnari Valeriu  ,  figuran ,  mermaid , flexitarian , 
132.Andronic Dumitru  ,  figuran ,  werewolf , vegetarian , 
132.Bîrloiu Sebastian  ,  figuran ,  human , anything , 
132.Andreoiu Adrian  ,  figuran ,  seer , vegetarian , 
132.Bizău Gabriela  ,  figuran ,  human , flexitarian , 
132.Albulescu Benone  ,  figuran ,  werewolf , flexitarian , 
132.Bădărău Eugenia  ,  figuran ,  mermaid , flexitarian , 
132.Bratu Dumitru  ,  figuran ,  vampire , vegetarian , 
132.Apostu Valeriu  ,  figuran ,  human , flexitarian , 
132.Bîrloiu Andreea  ,  figuran ,  vampire , anything , 
132.Ionescu Gabriel  ,  figuran ,  seer , vegetarian , 
132.Argeșanu Gheorghe  ,  figuran ,  human , flexitarian , 
132.Barbu Amalia  ,  figuran ,  human , vegetarian , 
132.Buhagiar Costel  ,  figuran ,  human , anything , 
132.Ardeleanu David  ,  figuran ,  human , vegetarian , 
132.Bozgă Cristofor  ,  figuran ,  human , anything , 
132.Athanasiu Teodosie  ,  figuran ,  human , anything , 
132.Bonciu Dan  ,  figuran ,  human , vegetarian , 
132.Alexa  Adrian  ,  figuran ,  human , anything , 
132.Brezeanu Valentin  ,  figuran ,  werewolf , vegetarian , 
132.Bănică Gratiela  ,  figuran ,  human , vegetarian , 
132.Negoita Zahari  ,  figuran ,  werewolf , flexitarian , 
132.Aman Ionuț  ,  figuran ,  human , anything , 
132.Grigorescu Sorina  ,  figuran ,  mermaid , vegetarian , 
132.Buhuș Florica  ,  figuran ,  werewolf , flexitarian , 
132.Bujo Anisoara  ,  figuran ,  seer , vegetarian , 
132.Bechet  Madalin  ,  figuran ,  seer , anything , 
132.Brâncuși  Laur  ,  figuran ,  werewolf , flexitarian , 
132.Balanici Ilarie  ,  figuran ,  mermaid , flexitarian , 
132.Athanasiu Grigore  ,  figuran ,  werewolf , flexitarian , 
132.Agaparian Manole  ,  figuran ,  werewolf , vegetarian , 
132.Alexe Anica  ,  figuran ,  werewolf , vegetarian , 
132.Băsescu  Anca  ,  figuran ,  vampire , vegetarian , 
132.Alexe Flavia  ,  figuran ,  werewolf , flexitarian , 
132.Andronic Lucretiu  ,  figuran ,  werewolf , anything , 
132.Brătescu Eusebiu  ,  figuran ,  human , vegetarian , 
132.Boteanu Damian  ,  figuran ,  seer , flexitarian , 
132.Almășan Benjamin  ,  figuran ,  werewolf , vegetarian , 
132.Băsescu  Matei  ,  figuran ,  werewolf , vegetarian , 
132.Bănățeanu Eduard  ,  figuran ,  werewolf , vegetarian , 
132.Argeșanu Brandusa  ,  figuran ,  seer , flexitarian , 
132.Brătescu Anisoara  ,  figuran ,  vampire , flexitarian , 
132.Anghelache Camelia  ,  figuran ,  seer , anything , 
132.Brumaru Martin  ,  figuran ,  werewolf , anything , 
132.Popescu Iurie  ,  figuran ,  human , flexitarian , 
132.Andronic Laur  ,  figuran ,  seer , flexitarian , 
132.Aldulescu Aniela  ,  figuran ,  mermaid , anything , 
132.Antoci Ancuta  ,  figuran ,  mermaid , anything , 
132.Bega  Anisoara  ,  figuran ,  mermaid , vegetarian , 
132.Bălan Anghel  ,  figuran ,  seer , anything , 
132.Aldulescu Spiridon  ,  figuran ,  werewolf , anything , 
132.Botezan Vasile  ,  figuran ,  human , anything , 
132.Breban Angelica  ,  figuran ,  vampire , anything , 
132.Apostoleanu Benone  ,  figuran ,  werewolf , anything , 
132.Basarabeanu Denis  ,  figuran ,  seer , vegetarian , 
132.Baconsky Ioana  ,  figuran ,  werewolf , anything , 
132.Boteanu Basarab  ,  figuran ,  vampire , vegetarian , 
132.Stanescu Ghita  ,  figuran ,  werewolf , anything , 
132.Adamache Efrem  ,  figuran ,  mermaid , flexitarian , 
132.Bîrloiu Apostol  ,  figuran ,  vampire , anything , 
132.Apostoleanu Anton  ,  figuran ,  vampire , anything , 
132.Brateș Felix  ,  figuran ,  werewolf , anything , 
132.Brenduș Filip  ,  figuran ,  mermaid , flexitarian , 
132.Băloșescu Cazimir  ,  figuran ,  vampire , anything , 
132.Aman Augustina  ,  figuran ,  seer , anything , 
132.Besoiu Cecilia  ,  figuran ,  human , flexitarian , 
132.Botezan Alin  ,  figuran ,  werewolf , flexitarian , 
132.Bechet  Bartolomeu  ,  figuran ,  seer , vegetarian , 
132.Alifantis Dan  ,  figuran ,  werewolf , vegetarian , 
132.Bazon Stefan  ,  figuran ,  mermaid , anything , 
132.Brateș Adam  ,  figuran ,  vampire , flexitarian , 
132.Almășan Aurora  ,  figuran ,  mermaid , anything , 
132.Andreoiu Andreea  ,  figuran ,  mermaid , anything , 
132.Brediceanu Gheorghe  ,  figuran ,  mermaid , anything , 
132.Botnaru Anca  ,  figuran ,  werewolf , anything , 
132.Popescu Ioachim  ,  figuran ,  mermaid , flexitarian , 
132.Brânzeu Doina  ,  figuran ,  seer , flexitarian , 
132.Bârloiu Ciprian  ,  figuran ,  werewolf , anything , 
132.Bizău Laur  ,  figuran ,  mermaid , flexitarian , 
132.Berghianu Dionisie  ,  figuran ,  seer , vegetarian , 
132.Bănică Mariana  ,  figuran ,  human , vegetarian , 
132.Bătrâneanu Lacramioara  ,  figuran ,  vampire , flexitarian , 
132.Basarabeanu Oscar  ,  figuran ,  werewolf , vegetarian , 
132.Avramescu Anton  ,  figuran ,  human , vegetarian , 
132.Arnautu Camil  ,  figuran ,  mermaid , anything , 
132.Alexandrescu Martin  ,  figuran ,  vampire , vegetarian , 
132.Alexi Fanurie  ,  figuran ,  mermaid , vegetarian , 
132.Bârlădeanu Dionisie  ,  figuran ,  mermaid , vegetarian , 
132.Bodiu Loredana  ,  figuran ,  mermaid , flexitarian , 
132.Ardeleanu Andrei  ,  figuran ,  mermaid , vegetarian , 
132.Banciu  Irina  ,  figuran ,  mermaid , flexitarian , 
132.Berghianu Stefan  ,  figuran ,  mermaid , anything , 
132.Brateș Leon  ,  figuran ,  human , vegetarian , 
132.Bănulescu Mihail  ,  figuran ,  werewolf , flexitarian , 
132.Bosânceanu Liviu  ,  figuran ,  mermaid , vegetarian , 
132.Bărboianu Vasile  ,  figuran ,  human , anything , 
132.Bozgă Lucretiu  ,  figuran ,  mermaid , vegetarian , 
132.Brâncoveanu  Laurentiu  ,  figuran ,  seer , flexitarian , 
132.Botean Emilian  ,  figuran ,  mermaid , flexitarian , 
132.Bodescu Laura  ,  figuran ,  human , flexitarian , 
132.Bălțat Liviu  ,  figuran ,  vampire , anything , 
132.Buhagiar Maria  ,  figuran ,  mermaid , flexitarian , 
132.Budescu Geta  ,  figuran ,  human , flexitarian , 
132.Argeșanu Ion  ,  figuran ,  vampire , flexitarian , 
132.Badea Cosmin  ,  figuran ,  werewolf , anything , 
132.Begu Adriana  ,  figuran ,  seer , anything , 
132.Angelescu Eugen  ,  figuran ,  vampire , vegetarian , 
132.Bârcă Petre  ,  figuran ,  vampire , anything , 
132.Albulescu Anisoara  ,  figuran ,  human , anything , 
132.Bichineț Denisa  ,  figuran ,  human , vegetarian , 
132.Borcea Razvan  ,  figuran ,  seer , vegetarian , 
132.Botezan Efrem  ,  figuran ,  vampire , vegetarian , 
132.Barzin Adam  ,  figuran ,  werewolf , anything , 
132.Bengescu Benjamin  ,  figuran ,  vampire , flexitarian , 
132.Bătrîneanu Mihai  ,  figuran ,  werewolf , anything , 
132.Bosânceanu Aurelia  ,  figuran ,  human , anything , 
132.Bănulescu Cristina  ,  figuran ,  seer , vegetarian , 
132.Brediceanu Gratiela  ,  figuran ,  werewolf , vegetarian , 
132.Bereș Filoftea  ,  figuran ,  seer , anything , 
132.Bărbuceanu Mariana  ,  figuran ,  werewolf , anything , 
132.Agârbiceanu Teodosie  ,  figuran ,  human , anything , 
132.Brânzeu Lucretia  ,  figuran ,  seer , anything , 
132.Bodescu Mariana  ,  figuran ,  human , anything , 
132.Adoc Dionisie  ,  figuran ,  werewolf , anything , 
132.Bujo Augustina  ,  figuran ,  vampire , vegetarian , 
132.Bogza Pavel  ,  figuran ,  vampire , vegetarian , 
132.Armășescu Basarab  ,  figuran ,  vampire , vegetarian , 
132.Bodescu Laura  ,  figuran ,  mermaid , flexitarian , 
132.Brâncuși  Dochia  ,  figuran ,  human , vegetarian , 
132.Aman Iacob  ,  figuran ,  vampire , vegetarian , 
132.Adamache Ionuț  ,  figuran ,  seer , flexitarian , 
132.Borcea Loredana  ,  figuran ,  human , anything , 
132.Adamache Ruxandra  ,  figuran ,  mermaid , anything , 
132.Arnăutu Nicolai  ,  figuran ,  mermaid , flexitarian , 
132.Antoci Grigore  ,  figuran ,  human , flexitarian , 
132.Boroianu Aurelia  ,  figuran ,  seer , vegetarian , 
132.Bârlădeanu Stefan  ,  figuran ,  werewolf , flexitarian , 
132.Dumitrescu Pavel  ,  figuran ,  vampire , vegetarian , 
132.Baconski  Dimitrie  ,  figuran ,  seer , vegetarian , 
132.Boștină Vladimir  ,  figuran ,  seer , anything , 
132.Bălănescu Mariana  ,  figuran ,  werewolf , flexitarian , 
132.Barbu Ileana  ,  figuran ,  seer , flexitarian , 
132.Bordea Andrei  ,  figuran ,  human , flexitarian , 
132.Bîrloiu Benedict  ,  figuran ,  seer , anything , 
132.Breban Damian  ,  figuran ,  seer , vegetarian , 
132.Bărboianu Loredana  ,  figuran ,  vampire , flexitarian , 
132.Barcianu  Georgeta  ,  figuran ,  werewolf , flexitarian , 
132.Andone Luciana  ,  figuran ,  vampire , vegetarian , 
132.Brumaru Lazar  ,  figuran ,  seer , vegetarian , 
132.Budescu Liliana  ,  figuran ,  vampire , flexitarian , 
132.Bercea Doru  ,  figuran ,  mermaid , flexitarian , 
132.Brânzeu Luminita  ,  figuran ,  mermaid , anything , 
132.Adamescu Manuel  ,  figuran ,  human , anything , 
132.Aman Anica  ,  figuran ,  human , anything , 
132.Bercu Lucretiu  ,  figuran ,  human , vegetarian , 
132.Barbu Horia  ,  figuran ,  human , vegetarian , 
132.Andone Manuela  ,  figuran ,  human , anything , 
132.Balanici Norbert  ,  figuran ,  werewolf , flexitarian , 
132.Bârloiu Emilian  ,  figuran ,  mermaid , vegetarian , 
132.Arnautu Ciprian  ,  figuran ,  vampire , flexitarian , 
132.Bereș Nicolae  ,  figuran ,  werewolf , anything , 
132.Baghiu Serban  ,  figuran ,  seer , flexitarian , 
132.Valisescu Dimitrie  ,  figuran ,  human , flexitarian , 
132.Baicu Leon  ,  figuran ,  seer , vegetarian , 
132.Agârbiceanu Cornel  ,  figuran ,  werewolf , flexitarian , 
132.Brâncoveanu  Benedict  ,  figuran ,  werewolf , flexitarian , 
132.Boteanu Carmen  ,  figuran ,  human , anything , 
132.Budeanu Stefan  ,  figuran ,  human , anything , 
132.Argetoianu Eduard  ,  figuran ,  mermaid , anything , 
132.Berindei  Augustina  ,  figuran ,  mermaid , vegetarian , 
132.Bosânceanu Andreea  ,  figuran ,  werewolf , anything , 
132.Botnaru Teodor  ,  figuran ,  human , flexitarian , 
132.Bănică Teodosie  ,  figuran ,  vampire , anything , 
132.Becșenescu Magdalena  ,  figuran ,  vampire , flexitarian , 
132.Blaga  Leon  ,  figuran ,  mermaid , flexitarian , 
132.Badea Ilie  ,  figuran ,  vampire , flexitarian , 
132.Bizău Grigore  ,  figuran ,  seer , vegetarian , 
132.Brateș Marian  ,  figuran ,  werewolf , vegetarian , 
132.Badea Eugen  ,  figuran ,  seer , vegetarian , 
132.Băloșescu Cristofor  ,  figuran ,  werewolf , vegetarian , 
132.Bacalbașa Lucretia  ,  figuran ,  werewolf , vegetarian , 
132.Antonescu Cristina  ,  figuran ,  vampire , anything , 
132.Baconsky Felicia  ,  figuran ,  vampire , flexitarian , 
132.Bădescu Matei  ,  figuran ,  vampire , anything , 
132.Bizău Cezar  ,  figuran ,  human , anything , 
132.Brudașcu Alexie  ,  figuran ,  werewolf , anything , 
132.Brătescu Marilena  ,  figuran ,  human , flexitarian , 
132.Boteanu Decebal  ,  figuran ,  werewolf , vegetarian , 
132.Negoita Ion  ,  figuran ,  mermaid , flexitarian , 
132.Buhagiar Zahari  ,  figuran ,  human , anything , 
132.Budescu Antoaneta  ,  figuran ,  werewolf , flexitarian , 
132.Botezan Nicolae  ,  figuran ,  werewolf , anything , 
132.Bărbuceanu Augustina  ,  figuran ,  seer , flexitarian , 
132.Albu  Doina  ,  figuran ,  mermaid , vegetarian , 
132.Berghianu Nicolai  ,  figuran ,  mermaid , flexitarian , 
132.Bacalbașa Camelia  ,  figuran ,  mermaid , flexitarian , 
132.Andone Dimitrie  ,  figuran ,  human , flexitarian , 
132.Barzin Geta  ,  figuran ,  human , flexitarian , 
132.Bărbuceanu Lidia  ,  figuran ,  seer , flexitarian , 
132.Bălănescu Magdalena  ,  figuran ,  human , anything , 
132.Bucurescu Haralambie  ,  figuran ,  vampire , vegetarian , 
132.Alexandrescu Cristian  ,  figuran ,  vampire , flexitarian , 
132.Belimace Mihaela  ,  figuran ,  vampire , flexitarian , 
132.Brănescu Alin  ,  figuran ,  vampire , vegetarian , 
132.Anton  Matei  ,  figuran ,  seer , vegetarian , 
132.Albu  Luminita  ,  figuran ,  mermaid , vegetarian , 
132.Brânzeu Fanurie  ,  figuran ,  seer , vegetarian , 
132.Apostol Vladimir  ,  figuran ,  human , anything , 
132.Buia Vitalie  ,  figuran ,  human , anything , 
132.Anghel Carmen  ,  figuran ,  human , vegetarian , 
132.Apostu Anca  ,  figuran ,  werewolf , flexitarian , 
132.Bizău Fanurie  ,  figuran ,  seer , anything , 
132.Botnaru Vitalie  ,  figuran ,  werewolf , vegetarian , 
132.Baciu Cristina  ,  figuran ,  mermaid , vegetarian , 
132.Boteanu Emil  ,  figuran ,  seer , vegetarian , 
132.Brâncoveanu  Felix  ,  figuran ,  werewolf , vegetarian , 
132.Borăscu Stelian  ,  figuran ,  human , vegetarian , 
132.Budeanu Diana  ,  figuran ,  mermaid , vegetarian , 
132.Baicu Ioachim  ,  figuran ,  seer , vegetarian , 
132.Balauru Anton  ,  figuran ,  seer , vegetarian , 
132.Bacalbașa David  ,  figuran ,  mermaid , vegetarian , 
132.Brateș Andrei  ,  figuran ,  mermaid , vegetarian , 
132.Botnaru Damian  ,  figuran ,  werewolf , flexitarian , 
132.Apetrei Dan  ,  figuran ,  vampire , vegetarian , 
132.Andone Dumitru  ,  figuran ,  werewolf , anything , 
132.Bozga Barbu  ,  figuran ,  human , vegetarian , 
132.Bădărău Stefan  ,  figuran ,  vampire , flexitarian , 
132.Becali Laurentiu  ,  figuran ,  seer , anything , 
132.Bănățeanu Ghita  ,  figuran ,  werewolf , vegetarian , 
132.Bazon Emil  ,  figuran ,  seer , flexitarian , 
132.Barna Constanta  ,  figuran ,  mermaid , flexitarian , 
132.Baconsky Diana  ,  figuran ,  werewolf , flexitarian , 
132.Benga Oana  ,  figuran ,  seer , flexitarian , 
132.Stanescu Stelian  ,  figuran ,  mermaid , flexitarian , 
132.Bozgă Neculai  ,  figuran ,  mermaid , vegetarian , 
132.Alexandrescu Ion  ,  figuran ,  human , vegetarian , 
132.Bercu Valeriu  ,  figuran ,  werewolf , vegetarian , 
132.Bonciu Marian  ,  figuran ,  werewolf , vegetarian , 
132.Bodnăraș Mihaela  ,  figuran ,  vampire , anything , 
132.Bercu Emilian  ,  figuran ,  seer , anything , 
132.Botezan Luchian  ,  figuran ,  seer , flexitarian , 
132.Alexandrescu Luciana  ,  figuran ,  mermaid , flexitarian , 
132.Badea Aurelia  ,  figuran ,  human , vegetarian , 
132.Balauru Ioachim  ,  figuran ,  human , vegetarian , 
132.Brateș Stefan  ,  figuran ,  werewolf , anything , 
132.Balanici Ilie  ,  figuran ,  mermaid , flexitarian , 
132.Georgescu Anca  ,  figuran ,  vampire , flexitarian , 
132.Stanescu Dionisie  ,  figuran ,  werewolf , vegetarian , 
132.Albu  Matei  ,  figuran ,  seer , vegetarian , 
132.Adamescu Ciprian  ,  figuran ,  human , vegetarian , 
132.Bozga Fanurie  ,  figuran ,  vampire , flexitarian , 
132.Bârcă Ruxandra  ,  figuran ,  seer , flexitarian , 
132.Bîrloiu Madalina  ,  figuran ,  human , anything , 
132.Athanasiu Eugen  ,  figuran ,  werewolf , vegetarian , 
132.Brenduș Marin  ,  figuran ,  seer , anything , 
132.Bîrloiu Manuela  ,  figuran ,  mermaid , flexitarian , 
132.Bozga Iosif  ,  figuran ,  werewolf , vegetarian , 
132.Bucur  Basarab  ,  figuran ,  seer , anything , 
132.Bîrlea Ancuta  ,  figuran ,  vampire , flexitarian , 
132.Bizău Doru  ,  figuran ,  seer , anything , 
132.Grigorescu Oana  ,  figuran ,  werewolf , flexitarian , 
132.Bercea Amalia  ,  figuran ,  werewolf , flexitarian , 
132.Bechet  Iolanda  ,  figuran ,  mermaid , vegetarian , 
132.Agaparian Petre  ,  figuran ,  vampire , flexitarian , 
132.Anghelache Raluca  ,  figuran ,  human , anything , 
132.Dumitrescu Elena  ,  figuran ,  mermaid , flexitarian , 
132.Brumaru Adelin  ,  figuran ,  werewolf , flexitarian , 
132.Anghelache Gabriela  ,  figuran ,  mermaid , vegetarian , 
132.Balauru Petru  ,  figuran ,  human , anything , 
132.Bănățeanu Damian  ,  figuran ,  werewolf , anything , 
132.Florescu Marius  ,  figuran ,  vampire , vegetarian , 
132.Albu  Adriana  ,  figuran ,  seer , anything , 
132.Bălănescu Diana  ,  figuran ,  vampire , anything , 
132.Bosânceanu Costel  ,  figuran ,  vampire , anything , 
132.Alexa  Adelin  ,  figuran ,  mermaid , vegetarian , 
132.Barna Daniel  ,  figuran ,  werewolf , anything , 
132.Budeanu Ioan  ,  figuran ,  vampire , anything , 
132.Beclean  Nectarie  ,  figuran ,  mermaid , anything , 
132.Andoni Serban  ,  figuran ,  human , vegetarian , 
132.Begu Oana  ,  figuran ,  seer , anything , 
132.Bătrîneanu Luchian  ,  figuran ,  human , flexitarian , 
132.Botnari Angelica  ,  figuran ,  vampire , anything , 
132.Bănulescu Ioachim  ,  figuran ,  human , flexitarian , 
132.Barcianu  Lacramioara  ,  figuran ,  mermaid , vegetarian , 
132.Brumaru Ioachim  ,  figuran ,  werewolf , vegetarian , 
132.Bechet  Damian  ,  figuran ,  mermaid , anything , 
132.Adameșteanu Luiza  ,  figuran ,  werewolf , vegetarian , 
132.Bratu Anca  ,  figuran ,  human , anything , 
132.Albulescu Basarab  ,  figuran ,  seer , anything , 
132.Bălănescu Nicolae  ,  figuran ,  human , vegetarian , 
132.Basarabeanu Matei  ,  figuran ,  mermaid , flexitarian , 
132.Bordea Diana  ,  figuran ,  mermaid , flexitarian , 
