Tim Burton  ,  director (4 episodes 2022) ,  seer , anything , 
132.Budeanu Mariana  ,  figuran ,  werewolf , flexitarian , 
132.Băsescu  Grigore  ,  figuran ,  werewolf , flexitarian , 
132.Brediceanu Cornel  ,  figuran ,  seer , vegetarian , 
132.Botnari Cecilia  ,  figuran ,  mermaid , vegetarian , 
132.Adameșteanu Denisa  ,  figuran ,  werewolf , anything , 
132.Athanasiu Luiza  ,  figuran ,  vampire , anything , 
132.Athanasiu Liviu  ,  figuran ,  seer , vegetarian , 
132.Bălțat Diana  ,  figuran ,  werewolf , vegetarian , 
132.Ardelean Martin  ,  figuran ,  werewolf , vegetarian , 
132.Brătianu Felix  ,  figuran ,  human , flexitarian , 
132.Valisescu Petre  ,  figuran ,  vampire , anything , 
132.Brânzeu Leon  ,  figuran ,  mermaid , vegetarian , 
132.Popescu Lazar  ,  figuran ,  werewolf , flexitarian , 
132.Berghianu Laur  ,  figuran ,  vampire , flexitarian , 
132.Brânzan Anghel  ,  figuran ,  vampire , vegetarian , 
132.Bălăceanu Cosmin  ,  figuran ,  mermaid , flexitarian , 
132.Arnăuțoiu Luca  ,  figuran ,  seer , flexitarian , 
132.Budeanu Oana  ,  figuran ,  human , vegetarian , 
132.Brâncoveanu  Eduard  ,  figuran ,  mermaid , flexitarian , 
132.Baghiu Anisoara  ,  figuran ,  werewolf , flexitarian , 
132.Anghelescu David  ,  figuran ,  mermaid , anything , 
132.Antonescu Constantin  ,  figuran ,  human , vegetarian , 
132.Brașoveanu Antonia  ,  figuran ,  vampire , vegetarian , 
132.Andone Antoaneta  ,  figuran ,  human , flexitarian , 
132.Bibescu Arsenie  ,  figuran ,  mermaid , flexitarian , 
132.Bizău Elena  ,  figuran ,  seer , flexitarian , 
132.Alexandrescu Norbert  ,  figuran ,  seer , vegetarian , 
132.Averescu  Dionisie  ,  figuran ,  werewolf , flexitarian , 
132.Baconsky Laurentiu  ,  figuran ,  seer , anything , 
132.Aldulescu Craciun  ,  figuran ,  vampire , anything , 
132.Apetrei Irina  ,  figuran ,  seer , anything , 
132.Balanici Dan  ,  figuran ,  vampire , flexitarian , 
132.Amânar Stefan  ,  figuran ,  werewolf , flexitarian , 
132.Bănățeanu Aniela  ,  figuran ,  human , flexitarian , 
132.Angelescu Barbu  ,  figuran ,  human , vegetarian , 
132.Arnăutu Sorina  ,  figuran ,  human , flexitarian , 
132.Antoci Dimitrie  ,  figuran ,  werewolf , flexitarian , 
132.Dumitrescu Ileana  ,  figuran ,  mermaid , anything , 
132.Beclean  Filoftea  ,  figuran ,  werewolf , anything , 
132.Brînzan Felicia  ,  figuran ,  seer , vegetarian , 
132.Broșteanu Calin  ,  figuran ,  human , flexitarian , 
132.Baconschi Laurentiu  ,  figuran ,  mermaid , anything , 
132.Brătianu Adelin  ,  figuran ,  werewolf , anything , 
132.Bădulescu Denisa  ,  figuran ,  vampire , flexitarian , 
132.Baconsky Anghel  ,  figuran ,  human , anything , 
132.Braghiș Anghel  ,  figuran ,  mermaid , anything , 
132.Bodnăraș Cosmin  ,  figuran ,  werewolf , anything , 
132.Bozgă Raluca  ,  figuran ,  werewolf , flexitarian , 
132.Bibescu George  ,  figuran ,  human , vegetarian , 
132.Armășescu Eduard  ,  figuran ,  human , flexitarian , 
132.Bosînceanu Ciprian  ,  figuran ,  human , vegetarian , 
132.Bujo Anton  ,  figuran ,  seer , vegetarian , 
132.Barzin Iosif  ,  figuran ,  vampire , vegetarian , 
132.Boteanu Costel  ,  figuran ,  seer , flexitarian , 
132.Brânzeu David  ,  figuran ,  seer , anything , 
132.Florescu Sebastian  ,  figuran ,  werewolf , vegetarian , 
132.Bodnăraș Lidia  ,  figuran ,  human , vegetarian , 
132.Baracci Gheorghe  ,  figuran ,  werewolf , flexitarian , 
132.Bănică Iosif  ,  figuran ,  seer , vegetarian , 
132.Becali Ionuț  ,  figuran ,  mermaid , flexitarian , 
132.Bodiul Ilie  ,  figuran ,  werewolf , vegetarian , 
132.Bosînceanu Dochia  ,  figuran ,  werewolf , flexitarian , 
132.Georgescu Benone  ,  figuran ,  mermaid , flexitarian , 
132.Bodiul Matei  ,  figuran ,  human , vegetarian , 
132.Apostoleanu Constanta  ,  figuran ,  vampire , vegetarian , 
132.Armășescu Fanurie  ,  figuran ,  seer , vegetarian , 
132.Buhuș Pavel  ,  figuran ,  human , anything , 
132.Balanici Benone  ,  figuran ,  mermaid , vegetarian , 
132.Bercu David  ,  figuran ,  mermaid , anything , 
132.Armășescu Lucretiu  ,  figuran ,  vampire , anything , 
132.Asachi Aurica  ,  figuran ,  vampire , anything , 
132.Stanescu Cosmin  ,  figuran ,  seer , anything , 
132.Albulescu Anca  ,  figuran ,  vampire , vegetarian , 
132.Baconski  Ileana  ,  figuran ,  mermaid , flexitarian , 
132.Baconsky Iustin  ,  figuran ,  vampire , vegetarian , 
132.Adameșteanu Denis  ,  figuran ,  human , vegetarian , 
132.Bîrloiu Marius  ,  figuran ,  werewolf , flexitarian , 
132.Băsescu  Apostol  ,  figuran ,  werewolf , flexitarian , 
132.Braghiș Adam  ,  figuran ,  werewolf , anything , 
132.Botnaru Alex  ,  figuran ,  vampire , vegetarian , 
132.Buhuș Gratiela  ,  figuran ,  seer , flexitarian , 
132.Bârloiu Magdalena  ,  figuran ,  seer , vegetarian , 
132.Bordea Anisoara  ,  figuran ,  vampire , flexitarian , 
132.Almășan Teodor  ,  figuran ,  mermaid , vegetarian , 
132.Barcianu  Decebal  ,  figuran ,  human , vegetarian , 
132.Arnăutu Benedict  ,  figuran ,  human , anything , 
132.Bărbuceanu Aurica  ,  figuran ,  human , flexitarian , 
132.Bălănescu Doina  ,  figuran ,  vampire , flexitarian , 
132.Almaș Bujor  ,  figuran ,  vampire , vegetarian , 
132.Bătrîneanu Petre  ,  figuran ,  mermaid , anything , 
132.Barzin Angelica  ,  figuran ,  mermaid , vegetarian , 
132.Belimace Aniela  ,  figuran ,  human , anything , 
132.Bozga Matei  ,  figuran ,  human , flexitarian , 
132.Asachi Dochia  ,  figuran ,  seer , anything , 
132.Bozga Georgeta  ,  figuran ,  mermaid , vegetarian , 
132.Bănulescu Bujor  ,  figuran ,  werewolf , anything , 
132.Brudașcu Oscar  ,  figuran ,  werewolf , vegetarian , 
132.Bărboianu Geanina  ,  figuran ,  seer , vegetarian , 
132.Bârlădeanu Luchian  ,  figuran ,  werewolf , vegetarian , 
132.Bârloiu Decebal  ,  figuran ,  human , vegetarian , 
132.Borăscu Andreea  ,  figuran ,  human , flexitarian , 
132.Băsescu  Ioachim  ,  figuran ,  mermaid , anything , 
132.Botnari Valeriu  ,  figuran ,  seer , vegetarian , 
132.Andronic Dumitru  ,  figuran ,  vampire , flexitarian , 
132.Bîrloiu Sebastian  ,  figuran ,  seer , anything , 
132.Andreoiu Adrian  ,  figuran ,  human , anything , 
132.Bizău Gabriela  ,  figuran ,  human , vegetarian , 
132.Albulescu Benone  ,  figuran ,  vampire , anything , 
132.Bădărău Eugenia  ,  figuran ,  vampire , flexitarian , 
132.Bratu Dumitru  ,  figuran ,  seer , vegetarian , 
132.Apostu Valeriu  ,  figuran ,  mermaid , vegetarian , 
132.Bîrloiu Andreea  ,  figuran ,  seer , flexitarian , 
132.Ionescu Gabriel  ,  figuran ,  vampire , anything , 
132.Argeșanu Gheorghe  ,  figuran ,  mermaid , anything , 
132.Barbu Amalia  ,  figuran ,  seer , anything , 
132.Buhagiar Costel  ,  figuran ,  werewolf , vegetarian , 
132.Ardeleanu David  ,  figuran ,  seer , anything , 
132.Bozgă Cristofor  ,  figuran ,  werewolf , flexitarian , 
132.Athanasiu Teodosie  ,  figuran ,  seer , anything , 
132.Bonciu Dan  ,  figuran ,  human , flexitarian , 
132.Alexa  Adrian  ,  figuran ,  werewolf , flexitarian , 
132.Brezeanu Valentin  ,  figuran ,  vampire , flexitarian , 
132.Bănică Gratiela  ,  figuran ,  mermaid , anything , 
132.Negoita Zahari  ,  figuran ,  seer , flexitarian , 
132.Aman Ionuț  ,  figuran ,  seer , anything , 
132.Grigorescu Sorina  ,  figuran ,  seer , anything , 
132.Buhuș Florica  ,  figuran ,  vampire , flexitarian , 
132.Bujo Anisoara  ,  figuran ,  human , vegetarian , 
132.Bechet  Madalin  ,  figuran ,  human , flexitarian , 
132.Brâncuși  Laur  ,  figuran ,  werewolf , anything , 
132.Balanici Ilarie  ,  figuran ,  vampire , flexitarian , 
132.Athanasiu Grigore  ,  figuran ,  werewolf , anything , 
132.Agaparian Manole  ,  figuran ,  vampire , vegetarian , 
132.Alexe Anica  ,  figuran ,  human , anything , 
132.Băsescu  Anca  ,  figuran ,  werewolf , anything , 
132.Alexe Flavia  ,  figuran ,  human , vegetarian , 
132.Andronic Lucretiu  ,  figuran ,  mermaid , anything , 
132.Brătescu Eusebiu  ,  figuran ,  vampire , vegetarian , 
132.Boteanu Damian  ,  figuran ,  werewolf , vegetarian , 
132.Almășan Benjamin  ,  figuran ,  vampire , flexitarian , 
132.Băsescu  Matei  ,  figuran ,  vampire , anything , 
132.Bănățeanu Eduard  ,  figuran ,  human , anything , 
132.Argeșanu Brandusa  ,  figuran ,  vampire , vegetarian , 
132.Brătescu Anisoara  ,  figuran ,  vampire , anything , 
132.Anghelache Camelia  ,  figuran ,  human , vegetarian , 
132.Brumaru Martin  ,  figuran ,  seer , vegetarian , 
132.Popescu Iurie  ,  figuran ,  mermaid , flexitarian , 
132.Andronic Laur  ,  figuran ,  mermaid , vegetarian , 
132.Aldulescu Aniela  ,  figuran ,  werewolf , anything , 
132.Antoci Ancuta  ,  figuran ,  vampire , anything , 
132.Bega  Anisoara  ,  figuran ,  mermaid , anything , 
132.Bălan Anghel  ,  figuran ,  seer , anything , 
132.Aldulescu Spiridon  ,  figuran ,  werewolf , anything , 
132.Botezan Vasile  ,  figuran ,  mermaid , flexitarian , 
132.Breban Angelica  ,  figuran ,  seer , flexitarian , 
132.Apostoleanu Benone  ,  figuran ,  vampire , flexitarian , 
132.Basarabeanu Denis  ,  figuran ,  vampire , anything , 
132.Baconsky Ioana  ,  figuran ,  seer , vegetarian , 
132.Boteanu Basarab  ,  figuran ,  werewolf , anything , 
132.Stanescu Ghita  ,  figuran ,  seer , anything , 
132.Adamache Efrem  ,  figuran ,  werewolf , vegetarian , 
132.Bîrloiu Apostol  ,  figuran ,  seer , flexitarian , 
132.Apostoleanu Anton  ,  figuran ,  mermaid , vegetarian , 
132.Brateș Felix  ,  figuran ,  mermaid , flexitarian , 
132.Brenduș Filip  ,  figuran ,  mermaid , anything , 
132.Băloșescu Cazimir  ,  figuran ,  werewolf , vegetarian , 
132.Aman Augustina  ,  figuran ,  human , vegetarian , 
132.Besoiu Cecilia  ,  figuran ,  seer , vegetarian , 
132.Botezan Alin  ,  figuran ,  mermaid , anything , 
132.Bechet  Bartolomeu  ,  figuran ,  vampire , anything , 
132.Alifantis Dan  ,  figuran ,  human , anything , 
132.Bazon Stefan  ,  figuran ,  mermaid , vegetarian , 
132.Brateș Adam  ,  figuran ,  vampire , anything , 
132.Almășan Aurora  ,  figuran ,  human , vegetarian , 
132.Andreoiu Andreea  ,  figuran ,  vampire , vegetarian , 
132.Brediceanu Gheorghe  ,  figuran ,  werewolf , anything , 
132.Botnaru Anca  ,  figuran ,  seer , anything , 
132.Popescu Ioachim  ,  figuran ,  human , anything , 
132.Brânzeu Doina  ,  figuran ,  vampire , vegetarian , 
132.Bârloiu Ciprian  ,  figuran ,  mermaid , vegetarian , 
132.Bizău Laur  ,  figuran ,  human , vegetarian , 
132.Berghianu Dionisie  ,  figuran ,  mermaid , flexitarian , 
132.Bănică Mariana  ,  figuran ,  seer , vegetarian , 
132.Bătrâneanu Lacramioara  ,  figuran ,  seer , anything , 
132.Basarabeanu Oscar  ,  figuran ,  werewolf , flexitarian , 
132.Avramescu Anton  ,  figuran ,  werewolf , vegetarian , 
132.Arnautu Camil  ,  figuran ,  mermaid , flexitarian , 
132.Alexandrescu Martin  ,  figuran ,  human , anything , 
132.Alexi Fanurie  ,  figuran ,  werewolf , flexitarian , 
132.Bârlădeanu Dionisie  ,  figuran ,  werewolf , anything , 
132.Bodiu Loredana  ,  figuran ,  mermaid , flexitarian , 
132.Ardeleanu Andrei  ,  figuran ,  seer , anything , 
132.Banciu  Irina  ,  figuran ,  mermaid , anything , 
132.Berghianu Stefan  ,  figuran ,  mermaid , anything , 
132.Brateș Leon  ,  figuran ,  seer , anything , 
132.Bănulescu Mihail  ,  figuran ,  human , anything , 
132.Bosânceanu Liviu  ,  figuran ,  human , vegetarian , 
132.Bărboianu Vasile  ,  figuran ,  werewolf , vegetarian , 
132.Bozgă Lucretiu  ,  figuran ,  werewolf , anything , 
132.Brâncoveanu  Laurentiu  ,  figuran ,  human , flexitarian , 
132.Botean Emilian  ,  figuran ,  werewolf , flexitarian , 
132.Bodescu Laura  ,  figuran ,  vampire , anything , 
132.Bălțat Liviu  ,  figuran ,  vampire , flexitarian , 
132.Buhagiar Maria  ,  figuran ,  mermaid , vegetarian , 
132.Budescu Geta  ,  figuran ,  vampire , flexitarian , 
132.Argeșanu Ion  ,  figuran ,  vampire , vegetarian , 
132.Badea Cosmin  ,  figuran ,  vampire , flexitarian , 
132.Begu Adriana  ,  figuran ,  human , flexitarian , 
132.Angelescu Eugen  ,  figuran ,  werewolf , vegetarian , 
132.Bârcă Petre  ,  figuran ,  vampire , vegetarian , 
132.Albulescu Anisoara  ,  figuran ,  human , anything , 
132.Bichineț Denisa  ,  figuran ,  mermaid , flexitarian , 
132.Borcea Razvan  ,  figuran ,  vampire , vegetarian , 
132.Botezan Efrem  ,  figuran ,  werewolf , flexitarian , 
132.Barzin Adam  ,  figuran ,  vampire , flexitarian , 
132.Bengescu Benjamin  ,  figuran ,  mermaid , flexitarian , 
132.Bătrîneanu Mihai  ,  figuran ,  mermaid , flexitarian , 
132.Bosânceanu Aurelia  ,  figuran ,  vampire , flexitarian , 
132.Bănulescu Cristina  ,  figuran ,  human , flexitarian , 
132.Brediceanu Gratiela  ,  figuran ,  human , vegetarian , 
132.Bereș Filoftea  ,  figuran ,  seer , flexitarian , 
132.Bărbuceanu Mariana  ,  figuran ,  seer , flexitarian , 
132.Agârbiceanu Teodosie  ,  figuran ,  mermaid , vegetarian , 
132.Brânzeu Lucretia  ,  figuran ,  seer , vegetarian , 
132.Bodescu Mariana  ,  figuran ,  vampire , vegetarian , 
132.Adoc Dionisie  ,  figuran ,  seer , flexitarian , 
132.Bujo Augustina  ,  figuran ,  werewolf , vegetarian , 
132.Bogza Pavel  ,  figuran ,  werewolf , flexitarian , 
132.Armășescu Basarab  ,  figuran ,  mermaid , anything , 
132.Bodescu Laura  ,  figuran ,  human , vegetarian , 
132.Brâncuși  Dochia  ,  figuran ,  mermaid , vegetarian , 
132.Aman Iacob  ,  figuran ,  werewolf , flexitarian , 
132.Adamache Ionuț  ,  figuran ,  seer , vegetarian , 
132.Borcea Loredana  ,  figuran ,  mermaid , vegetarian , 
132.Adamache Ruxandra  ,  figuran ,  vampire , vegetarian , 
132.Arnăutu Nicolai  ,  figuran ,  human , vegetarian , 
132.Antoci Grigore  ,  figuran ,  mermaid , vegetarian , 
132.Boroianu Aurelia  ,  figuran ,  vampire , anything , 
132.Bârlădeanu Stefan  ,  figuran ,  mermaid , anything , 
132.Dumitrescu Pavel  ,  figuran ,  seer , flexitarian , 
132.Baconski  Dimitrie  ,  figuran ,  seer , flexitarian , 
132.Boștină Vladimir  ,  figuran ,  seer , anything , 
132.Bălănescu Mariana  ,  figuran ,  vampire , vegetarian , 
132.Barbu Ileana  ,  figuran ,  human , anything , 
132.Bordea Andrei  ,  figuran ,  vampire , flexitarian , 
132.Bîrloiu Benedict  ,  figuran ,  seer , vegetarian , 
132.Breban Damian  ,  figuran ,  seer , flexitarian , 
132.Bărboianu Loredana  ,  figuran ,  vampire , vegetarian , 
132.Barcianu  Georgeta  ,  figuran ,  vampire , anything , 
132.Andone Luciana  ,  figuran ,  seer , flexitarian , 
132.Brumaru Lazar  ,  figuran ,  human , anything , 
132.Budescu Liliana  ,  figuran ,  human , vegetarian , 
132.Bercea Doru  ,  figuran ,  werewolf , anything , 
132.Brânzeu Luminita  ,  figuran ,  human , flexitarian , 
132.Adamescu Manuel  ,  figuran ,  mermaid , anything , 
132.Aman Anica  ,  figuran ,  human , flexitarian , 
132.Bercu Lucretiu  ,  figuran ,  werewolf , anything , 
132.Barbu Horia  ,  figuran ,  seer , flexitarian , 
132.Andone Manuela  ,  figuran ,  seer , flexitarian , 
132.Balanici Norbert  ,  figuran ,  human , vegetarian , 
132.Bârloiu Emilian  ,  figuran ,  werewolf , anything , 
132.Arnautu Ciprian  ,  figuran ,  vampire , anything , 
132.Bereș Nicolae  ,  figuran ,  mermaid , anything , 
132.Baghiu Serban  ,  figuran ,  vampire , flexitarian , 
132.Valisescu Dimitrie  ,  figuran ,  mermaid , vegetarian , 
132.Baicu Leon  ,  figuran ,  mermaid , anything , 
132.Agârbiceanu Cornel  ,  figuran ,  human , anything , 
132.Brâncoveanu  Benedict  ,  figuran ,  human , flexitarian , 
132.Boteanu Carmen  ,  figuran ,  vampire , vegetarian , 
132.Budeanu Stefan  ,  figuran ,  human , anything , 
132.Argetoianu Eduard  ,  figuran ,  werewolf , vegetarian , 
132.Berindei  Augustina  ,  figuran ,  human , anything , 
132.Bosânceanu Andreea  ,  figuran ,  mermaid , anything , 
132.Botnaru Teodor  ,  figuran ,  mermaid , flexitarian , 
132.Bănică Teodosie  ,  figuran ,  mermaid , anything , 
132.Becșenescu Magdalena  ,  figuran ,  human , flexitarian , 
132.Blaga  Leon  ,  figuran ,  seer , anything , 
132.Badea Ilie  ,  figuran ,  seer , anything , 
132.Bizău Grigore  ,  figuran ,  human , vegetarian , 
132.Brateș Marian  ,  figuran ,  seer , anything , 
132.Badea Eugen  ,  figuran ,  werewolf , flexitarian , 
132.Băloșescu Cristofor  ,  figuran ,  werewolf , flexitarian , 
132.Bacalbașa Lucretia  ,  figuran ,  werewolf , flexitarian , 
132.Antonescu Cristina  ,  figuran ,  mermaid , anything , 
132.Baconsky Felicia  ,  figuran ,  vampire , anything , 
132.Bădescu Matei  ,  figuran ,  vampire , flexitarian , 
132.Bizău Cezar  ,  figuran ,  seer , flexitarian , 
132.Brudașcu Alexie  ,  figuran ,  human , vegetarian , 
132.Brătescu Marilena  ,  figuran ,  seer , vegetarian , 
132.Boteanu Decebal  ,  figuran ,  werewolf , vegetarian , 
132.Negoita Ion  ,  figuran ,  vampire , flexitarian , 
132.Buhagiar Zahari  ,  figuran ,  vampire , vegetarian , 
132.Budescu Antoaneta  ,  figuran ,  seer , vegetarian , 
132.Botezan Nicolae  ,  figuran ,  mermaid , anything , 
132.Bărbuceanu Augustina  ,  figuran ,  werewolf , anything , 
132.Albu  Doina  ,  figuran ,  seer , flexitarian , 
132.Berghianu Nicolai  ,  figuran ,  mermaid , vegetarian , 
132.Bacalbașa Camelia  ,  figuran ,  seer , anything , 
132.Andone Dimitrie  ,  figuran ,  werewolf , vegetarian , 
132.Barzin Geta  ,  figuran ,  mermaid , vegetarian , 
132.Bărbuceanu Lidia  ,  figuran ,  seer , anything , 
132.Bălănescu Magdalena  ,  figuran ,  human , anything , 
132.Bucurescu Haralambie  ,  figuran ,  seer , flexitarian , 
132.Alexandrescu Cristian  ,  figuran ,  seer , vegetarian , 
132.Belimace Mihaela  ,  figuran ,  human , anything , 
132.Brănescu Alin  ,  figuran ,  seer , flexitarian , 
132.Anton  Matei  ,  figuran ,  werewolf , anything , 
132.Albu  Luminita  ,  figuran ,  seer , anything , 
132.Brânzeu Fanurie  ,  figuran ,  vampire , flexitarian , 
132.Apostol Vladimir  ,  figuran ,  mermaid , flexitarian , 
132.Buia Vitalie  ,  figuran ,  human , anything , 
132.Anghel Carmen  ,  figuran ,  werewolf , flexitarian , 
132.Apostu Anca  ,  figuran ,  human , anything , 
132.Bizău Fanurie  ,  figuran ,  mermaid , flexitarian , 
132.Botnaru Vitalie  ,  figuran ,  werewolf , flexitarian , 
132.Baciu Cristina  ,  figuran ,  werewolf , vegetarian , 
132.Boteanu Emil  ,  figuran ,  vampire , flexitarian , 
132.Brâncoveanu  Felix  ,  figuran ,  mermaid , vegetarian , 
132.Borăscu Stelian  ,  figuran ,  vampire , anything , 
132.Budeanu Diana  ,  figuran ,  seer , anything , 
132.Baicu Ioachim  ,  figuran ,  seer , flexitarian , 
132.Balauru Anton  ,  figuran ,  mermaid , anything , 
132.Bacalbașa David  ,  figuran ,  human , vegetarian , 
132.Brateș Andrei  ,  figuran ,  human , vegetarian , 
132.Botnaru Damian  ,  figuran ,  werewolf , anything , 
132.Apetrei Dan  ,  figuran ,  vampire , flexitarian , 
132.Andone Dumitru  ,  figuran ,  mermaid , anything , 
132.Bozga Barbu  ,  figuran ,  vampire , anything , 
132.Bădărău Stefan  ,  figuran ,  vampire , flexitarian , 
132.Becali Laurentiu  ,  figuran ,  seer , flexitarian , 
132.Bănățeanu Ghita  ,  figuran ,  vampire , flexitarian , 
132.Bazon Emil  ,  figuran ,  human , flexitarian , 
132.Barna Constanta  ,  figuran ,  mermaid , anything , 
132.Baconsky Diana  ,  figuran ,  mermaid , flexitarian , 
132.Benga Oana  ,  figuran ,  werewolf , anything , 
132.Stanescu Stelian  ,  figuran ,  mermaid , anything , 
132.Bozgă Neculai  ,  figuran ,  seer , vegetarian , 
132.Alexandrescu Ion  ,  figuran ,  vampire , flexitarian , 
132.Bercu Valeriu  ,  figuran ,  seer , anything , 
132.Bonciu Marian  ,  figuran ,  seer , vegetarian , 
132.Bodnăraș Mihaela  ,  figuran ,  mermaid , flexitarian , 
132.Bercu Emilian  ,  figuran ,  mermaid , vegetarian , 
132.Botezan Luchian  ,  figuran ,  werewolf , vegetarian , 
132.Alexandrescu Luciana  ,  figuran ,  human , flexitarian , 
132.Badea Aurelia  ,  figuran ,  werewolf , anything , 
132.Balauru Ioachim  ,  figuran ,  seer , anything , 
132.Brateș Stefan  ,  figuran ,  vampire , vegetarian , 
132.Balanici Ilie  ,  figuran ,  werewolf , anything , 
132.Georgescu Anca  ,  figuran ,  mermaid , vegetarian , 
132.Stanescu Dionisie  ,  figuran ,  mermaid , flexitarian , 
132.Albu  Matei  ,  figuran ,  vampire , anything , 
132.Adamescu Ciprian  ,  figuran ,  vampire , vegetarian , 
132.Bozga Fanurie  ,  figuran ,  werewolf , flexitarian , 
132.Bârcă Ruxandra  ,  figuran ,  vampire , flexitarian , 
132.Bîrloiu Madalina  ,  figuran ,  werewolf , flexitarian , 
132.Athanasiu Eugen  ,  figuran ,  human , flexitarian , 
132.Brenduș Marin  ,  figuran ,  seer , anything , 
132.Bîrloiu Manuela  ,  figuran ,  human , anything , 
132.Bozga Iosif  ,  figuran ,  werewolf , flexitarian , 
132.Bucur  Basarab  ,  figuran ,  human , flexitarian , 
132.Bîrlea Ancuta  ,  figuran ,  mermaid , flexitarian , 
132.Bizău Doru  ,  figuran ,  seer , flexitarian , 
132.Grigorescu Oana  ,  figuran ,  mermaid , flexitarian , 
132.Bercea Amalia  ,  figuran ,  seer , anything , 
132.Bechet  Iolanda  ,  figuran ,  seer , vegetarian , 
132.Agaparian Petre  ,  figuran ,  vampire , vegetarian , 
132.Anghelache Raluca  ,  figuran ,  seer , anything , 
132.Dumitrescu Elena  ,  figuran ,  human , anything , 
132.Brumaru Adelin  ,  figuran ,  vampire , vegetarian , 
132.Anghelache Gabriela  ,  figuran ,  human , anything , 
132.Balauru Petru  ,  figuran ,  human , flexitarian , 
132.Bănățeanu Damian  ,  figuran ,  mermaid , anything , 
132.Florescu Marius  ,  figuran ,  seer , flexitarian , 
132.Albu  Adriana  ,  figuran ,  vampire , vegetarian , 
132.Bălănescu Diana  ,  figuran ,  human , flexitarian , 
132.Bosânceanu Costel  ,  figuran ,  werewolf , anything , 
132.Alexa  Adelin  ,  figuran ,  seer , vegetarian , 
132.Barna Daniel  ,  figuran ,  human , anything , 
132.Budeanu Ioan  ,  figuran ,  seer , anything , 
132.Beclean  Nectarie  ,  figuran ,  vampire , flexitarian , 
132.Andoni Serban  ,  figuran ,  human , vegetarian , 
132.Begu Oana  ,  figuran ,  vampire , anything , 
132.Bătrîneanu Luchian  ,  figuran ,  vampire , anything , 
132.Botnari Angelica  ,  figuran ,  seer , vegetarian , 
132.Bănulescu Ioachim  ,  figuran ,  seer , flexitarian , 
132.Barcianu  Lacramioara  ,  figuran ,  werewolf , flexitarian , 
132.Brumaru Ioachim  ,  figuran ,  seer , anything , 
132.Bechet  Damian  ,  figuran ,  human , flexitarian , 
132.Adameșteanu Luiza  ,  figuran ,  mermaid , flexitarian , 
132.Bratu Anca  ,  figuran ,  mermaid , anything , 
132.Albulescu Basarab  ,  figuran ,  human , vegetarian , 
132.Bălănescu Nicolae  ,  figuran ,  werewolf , flexitarian , 
132.Basarabeanu Matei  ,  figuran ,  vampire , anything , 
132.Bordea Diana  ,  figuran ,  human , anything , 
132.Botnaru Alexie  ,  figuran ,  vampire , anything , 
132.Stanescu Petre  ,  figuran ,  human , vegetarian , 
132.Bădărău Sebastian  ,  figuran ,  human , vegetarian , 
132.Brenduș Lidia  ,  figuran ,  seer , flexitarian , 
132.Botnari Ghita  ,  figuran ,  human , flexitarian , 
132.Bîrloiu Diana  ,  figuran ,  werewolf , anything , 
132.Antal Manuel  ,  figuran ,  werewolf , anything , 
132.Bodescu Ioana  ,  figuran ,  mermaid , flexitarian , 
132.Brumaru Basarab  ,  figuran ,  werewolf , flexitarian , 
132.Baracci Marin  ,  figuran ,  werewolf , vegetarian , 
132.Arnautu Bogdan  ,  figuran ,  mermaid , flexitarian , 
132.Bazon Stefan  ,  figuran ,  vampire , vegetarian , 
132.Bozga Cristi  ,  figuran ,  seer , vegetarian , 
132.Bolliac Gratiela  ,  figuran ,  seer , anything , 
132.Bereș Andreas  ,  figuran ,  seer , flexitarian , 
132.Botean Oana  ,  figuran ,  human , vegetarian , 
132.Brumaru Basarab  ,  figuran ,  mermaid , anything , 
132.Bărboianu Liliana  ,  figuran ,  werewolf , vegetarian , 
132.Borăscu Anton  ,  figuran ,  werewolf , vegetarian , 
132.Averescu  Brandusa  ,  figuran ,  vampire , anything , 
132.Brânzeu Stefan  ,  figuran ,  human , vegetarian , 
132.Andone Liviu  ,  figuran ,  mermaid , anything , 
132.Bărbulescu Benedict  ,  figuran ,  seer , anything , 
132.Bujo Dida  ,  figuran ,  mermaid , vegetarian , 
132.Grigorescu George  ,  figuran ,  vampire , flexitarian , 
132.Anghelache Sorin  ,  figuran ,  seer , anything , 
132.Florescu Gabriel  ,  figuran ,  werewolf , anything , 
132.Bodescu Florentina  ,  figuran ,  werewolf , anything , 
132.Bucurescu Basarab  ,  figuran ,  vampire , anything , 
132.Bărbuceanu Nectarie  ,  figuran ,  human , anything , 
132.Bănulescu Stefan  ,  figuran ,  vampire , vegetarian , 
132.Bărboianu Grigore  ,  figuran ,  werewolf , anything , 
132.Bănică Ciprian  ,  figuran ,  mermaid , vegetarian , 
132.Adoc Cazimir  ,  figuran ,  seer , flexitarian , 
132.Bîrlea George  ,  figuran ,  mermaid , flexitarian , 
132.Barbu Razvan  ,  figuran ,  human , vegetarian , 
132.Alexa  Ileana  ,  figuran ,  mermaid , flexitarian , 
132.Avramescu Anisoara  ,  figuran ,  seer , vegetarian , 
132.Brediceanu Marin  ,  figuran ,  human , flexitarian , 
132.Bogos Amalia  ,  figuran ,  vampire , vegetarian , 
132.Alifantis Eugen  ,  figuran ,  mermaid , anything , 
132.Argeșanu Andrei  ,  figuran ,  seer , flexitarian , 
132.Adameșteanu Norbert  ,  figuran ,  seer , anything , 
132.Bordea Mihaela  ,  figuran ,  vampire , flexitarian , 
