Tim Burton   ,   director (4 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Bădărău Eugenia   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bratu Dumitru   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Apostu Valeriu   ,   figuran ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bîrloiu Andreea   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Ionescu Gabriel   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Argeșanu Gheorghe   ,   figuran ,   human  , anything ,  vegetarian  , anything ,   , anything , 
132.Barbu Amalia   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Buhagiar Costel   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Ardeleanu David   ,   figuran ,   mermaid  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Bozgă Cristofor   ,   figuran ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Athanasiu Teodosie   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
132.Bonciu Dan   ,   figuran ,   seer  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Alexa  Adrian   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Brezeanu Valentin   ,   figuran ,   mermaid  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Bănică Gratiela   ,   figuran ,   mermaid  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Negoita Zahari   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
132.Aman Ionuț   ,   figuran ,   human  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Grigorescu Sorina   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Buhuș Florica   ,   figuran ,   seer  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Bujo Anisoara   ,   figuran ,   human  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Bechet  Madalin   ,   figuran ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Brâncuși  Laur   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
132.Balanici Ilarie   ,   figuran ,   werewolf  , anything ,  anything  , anything ,   , flexitarian , 
132.Athanasiu Grigore   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Agaparian Manole   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Alexe Anica   ,   figuran ,   human  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Băsescu  Anca   ,   figuran ,   vampire  , anything ,  flexitarian  , anything ,   , anything , 
132.Alexe Flavia   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Andronic Lucretiu   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Brătescu Eusebiu   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Boteanu Damian   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , flexitarian , 
132.Almășan Benjamin   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Băsescu  Matei   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Bănățeanu Eduard   ,   figuran ,   seer  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Argeșanu Brandusa   ,   figuran ,   seer  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Brătescu Anisoara   ,   figuran ,   mermaid  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Anghelache Camelia   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Brumaru Martin   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Popescu Iurie   ,   figuran ,   vampire  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Andronic Laur   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Aldulescu Aniela   ,   figuran ,   seer  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Antoci Ancuta   ,   figuran ,   mermaid  , anything ,  anything  , anything ,   , vegetarian , 
132.Bega  Anisoara   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , anything , 
132.Bălan Anghel   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Aldulescu Spiridon   ,   figuran ,   werewolf  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Botezan Vasile   ,   figuran ,   human  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Breban Angelica   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Apostoleanu Benone   ,   figuran ,   vampire  , anything ,  vegetarian  , anything ,   , anything , 
132.Basarabeanu Denis   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Baconsky Ioana   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Boteanu Basarab   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Stanescu Ghita   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Adamache Efrem   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
132.Bîrloiu Apostol   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , anything , 
132.Apostoleanu Anton   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Brateș Felix   ,   figuran ,   werewolf  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Brenduș Filip   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Băloșescu Cazimir   ,   figuran ,   human  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Aman Augustina   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Besoiu Cecilia   ,   figuran ,   mermaid  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Botezan Alin   ,   figuran ,   seer  , vegetarian ,  anything  , anything ,   , flexitarian , 
132.Bechet  Bartolomeu   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
132.Alifantis Dan   ,   figuran ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bazon Stefan   ,   figuran ,   seer  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Brateș Adam   ,   figuran ,   human  , flexitarian ,  anything  , vegetarian ,   , anything , 
132.Almășan Aurora   ,   figuran ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Andreoiu Andreea   ,   figuran ,   werewolf  , flexitarian ,  anything  , vegetarian ,   , anything , 
132.Brediceanu Gheorghe   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Botnaru Anca   ,   figuran ,   seer  , anything ,  anything  , anything ,   , anything , 
132.Popescu Ioachim   ,   figuran ,   mermaid  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Brânzeu Doina   ,   figuran ,   vampire  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Bârloiu Ciprian   ,   figuran ,   human  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
132.Bizău Laur   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Berghianu Dionisie   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
132.Bănică Mariana   ,   figuran ,   human  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bătrâneanu Lacramioara   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Basarabeanu Oscar   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Avramescu Anton   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Arnautu Camil   ,   figuran ,   vampire  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Alexandrescu Martin   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Alexi Fanurie   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bârlădeanu Dionisie   ,   figuran ,   seer  , anything ,  flexitarian  , anything ,   , anything , 
132.Bodiu Loredana   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
132.Ardeleanu Andrei   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Banciu  Irina   ,   figuran ,   seer  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Berghianu Stefan   ,   figuran ,   vampire  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
132.Brateș Leon   ,   figuran ,   human  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bănulescu Mihail   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Bosânceanu Liviu   ,   figuran ,   vampire  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Bărboianu Vasile   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Bozgă Lucretiu   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Brâncoveanu  Laurentiu   ,   figuran ,   human  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Botean Emilian   ,   figuran ,   human  , anything ,  anything  , anything ,   , flexitarian , 
132.Bodescu Laura   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bălțat Liviu   ,   figuran ,   werewolf  , anything ,  anything  , vegetarian ,   , anything , 
132.Buhagiar Maria   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Budescu Geta   ,   figuran ,   vampire  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Argeșanu Ion   ,   figuran ,   human  , anything ,  vegetarian  , anything ,   , anything , 
132.Badea Cosmin   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Begu Adriana   ,   figuran ,   vampire  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Angelescu Eugen   ,   figuran ,   seer  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
132.Bârcă Petre   ,   figuran ,   vampire  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Albulescu Anisoara   ,   figuran ,   werewolf  , flexitarian ,  anything  , flexitarian ,   , anything , 
132.Bichineț Denisa   ,   figuran ,   human  , anything ,  anything  , anything ,   , vegetarian , 
132.Borcea Razvan   ,   figuran ,   human  , flexitarian ,  anything  , anything ,   , anything , 
132.Botezan Efrem   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Barzin Adam   ,   figuran ,   human  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Bengescu Benjamin   ,   figuran ,   seer  , vegetarian ,  anything  , anything ,   , flexitarian , 
132.Bătrîneanu Mihai   ,   figuran ,   vampire  , vegetarian ,  anything  , anything ,   , flexitarian , 
132.Bosânceanu Aurelia   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bănulescu Cristina   ,   figuran ,   human  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Brediceanu Gratiela   ,   figuran ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bereș Filoftea   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
132.Bărbuceanu Mariana   ,   figuran ,   vampire  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Agârbiceanu Teodosie   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Brânzeu Lucretia   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Bodescu Mariana   ,   figuran ,   werewolf  , anything ,  flexitarian  , anything ,   , anything , 
132.Adoc Dionisie   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bujo Augustina   ,   figuran ,   mermaid  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Bogza Pavel   ,   figuran ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
132.Armășescu Basarab   ,   figuran ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bodescu Laura   ,   figuran ,   werewolf  , flexitarian ,  anything  , flexitarian ,   , anything , 
132.Brâncuși  Dochia   ,   figuran ,   seer  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Aman Iacob   ,   figuran ,   vampire  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Adamache Ionuț   ,   figuran ,   seer  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Borcea Loredana   ,   figuran ,   mermaid  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Adamache Ruxandra   ,   figuran ,   mermaid  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Arnăutu Nicolai   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Antoci Grigore   ,   figuran ,   mermaid  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Boroianu Aurelia   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Bârlădeanu Stefan   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Dumitrescu Pavel   ,   figuran ,   seer  , anything ,  anything  , anything ,   , flexitarian , 
132.Baconski  Dimitrie   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Boștină Vladimir   ,   figuran ,   mermaid  , flexitarian ,  anything  , anything ,   , anything , 
132.Bălănescu Mariana   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Barbu Ileana   ,   figuran ,   seer  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Bordea Andrei   ,   figuran ,   werewolf  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Bîrloiu Benedict   ,   figuran ,   seer  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Breban Damian   ,   figuran ,   vampire  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Bărboianu Loredana   ,   figuran ,   human  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Barcianu  Georgeta   ,   figuran ,   human  , anything ,  anything  , anything ,   , flexitarian , 
132.Andone Luciana   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Brumaru Lazar   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , anything , 
132.Budescu Liliana   ,   figuran ,   human  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bercea Doru   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Brânzeu Luminita   ,   figuran ,   vampire  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Adamescu Manuel   ,   figuran ,   human  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Aman Anica   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Bercu Lucretiu   ,   figuran ,   seer  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Barbu Horia   ,   figuran ,   seer  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Andone Manuela   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , anything , 
132.Balanici Norbert   ,   figuran ,   seer  , anything ,  anything  , flexitarian ,   , flexitarian , 
132.Bârloiu Emilian   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Arnautu Ciprian   ,   figuran ,   vampire  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Bereș Nicolae   ,   figuran ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Baghiu Serban   ,   figuran ,   vampire  , anything ,  anything  , flexitarian ,   , anything , 
132.Valisescu Dimitrie   ,   figuran ,   vampire  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Baicu Leon   ,   figuran ,   seer  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Agârbiceanu Cornel   ,   figuran ,   seer  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Brâncoveanu  Benedict   ,   figuran ,   vampire  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Boteanu Carmen   ,   figuran ,   mermaid  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
132.Budeanu Stefan   ,   figuran ,   human  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Argetoianu Eduard   ,   figuran ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , anything , 
132.Berindei  Augustina   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , flexitarian , 
132.Bosânceanu Andreea   ,   figuran ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Botnaru Teodor   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Bănică Teodosie   ,   figuran ,   werewolf  , flexitarian ,  anything  , vegetarian ,   , anything , 
132.Becșenescu Magdalena   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Blaga  Leon   ,   figuran ,   human  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Badea Ilie   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
132.Bizău Grigore   ,   figuran ,   seer  , vegetarian ,  anything  , anything ,   , anything , 
132.Brateș Marian   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Badea Eugen   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Băloșescu Cristofor   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bacalbașa Lucretia   ,   figuran ,   werewolf  , anything ,  anything  , vegetarian ,   , anything , 
132.Antonescu Cristina   ,   figuran ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Baconsky Felicia   ,   figuran ,   werewolf  , flexitarian ,  anything  , anything ,   , anything , 
132.Bădescu Matei   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bizău Cezar   ,   figuran ,   human  , flexitarian ,  anything  , vegetarian ,   , anything , 
132.Brudașcu Alexie   ,   figuran ,   vampire  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Brătescu Marilena   ,   figuran ,   human  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Boteanu Decebal   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , anything , 
132.Negoita Ion   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Buhagiar Zahari   ,   figuran ,   vampire  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Budescu Antoaneta   ,   figuran ,   human  , vegetarian ,  anything  , anything ,   , anything , 
132.Botezan Nicolae   ,   figuran ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Bărbuceanu Augustina   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Albu  Doina   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Berghianu Nicolai   ,   figuran ,   werewolf  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
132.Bacalbașa Camelia   ,   figuran ,   human  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Andone Dimitrie   ,   figuran ,   seer  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Barzin Geta   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bărbuceanu Lidia   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Bălănescu Magdalena   ,   figuran ,   seer  , anything ,  anything  , anything ,   , flexitarian , 
132.Bucurescu Haralambie   ,   figuran ,   vampire  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Alexandrescu Cristian   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Belimace Mihaela   ,   figuran ,   vampire  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Brănescu Alin   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Anton  Matei   ,   figuran ,   seer  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Albu  Luminita   ,   figuran ,   human  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Brânzeu Fanurie   ,   figuran ,   seer  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Apostol Vladimir   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Buia Vitalie   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Anghel Carmen   ,   figuran ,   seer  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Apostu Anca   ,   figuran ,   seer  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Bizău Fanurie   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Botnaru Vitalie   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Baciu Cristina   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Boteanu Emil   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Brâncoveanu  Felix   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Borăscu Stelian   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Budeanu Diana   ,   figuran ,   vampire  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Baicu Ioachim   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Balauru Anton   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bacalbașa David   ,   figuran ,   seer  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Brateș Andrei   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Botnaru Damian   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Apetrei Dan   ,   figuran ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Andone Dumitru   ,   figuran ,   human  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Bozga Barbu   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Bădărău Stefan   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Becali Laurentiu   ,   figuran ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Bănățeanu Ghita   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Bazon Emil   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Barna Constanta   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Baconsky Diana   ,   figuran ,   mermaid  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Benga Oana   ,   figuran ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Stanescu Stelian   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Bozgă Neculai   ,   figuran ,   seer  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Alexandrescu Ion   ,   figuran ,   seer  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Bercu Valeriu   ,   figuran ,   human  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Bonciu Marian   ,   figuran ,   human  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bodnăraș Mihaela   ,   figuran ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , anything , 
132.Bercu Emilian   ,   figuran ,   vampire  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
132.Botezan Luchian   ,   figuran ,   human  , anything ,  anything  , flexitarian ,   , flexitarian , 
132.Alexandrescu Luciana   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Badea Aurelia   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Balauru Ioachim   ,   figuran ,   seer  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Brateș Stefan   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Balanici Ilie   ,   figuran ,   werewolf  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Georgescu Anca   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Stanescu Dionisie   ,   figuran ,   human  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Albu  Matei   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Adamescu Ciprian   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Bozga Fanurie   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Bârcă Ruxandra   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Bîrloiu Madalina   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Athanasiu Eugen   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Brenduș Marin   ,   figuran ,   werewolf  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bîrloiu Manuela   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Bozga Iosif   ,   figuran ,   human  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Bucur  Basarab   ,   figuran ,   werewolf  , anything ,  anything  , flexitarian ,   , flexitarian , 
132.Bîrlea Ancuta   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bizău Doru   ,   figuran ,   seer  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Grigorescu Oana   ,   figuran ,   werewolf  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Bercea Amalia   ,   figuran ,   human  , anything ,  anything  , vegetarian ,   , vegetarian , 
132.Bechet  Iolanda   ,   figuran ,   seer  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Agaparian Petre   ,   figuran ,   vampire  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
